class_name,col_va,col_offset,vtable_start,vtable_end,slot_count,slot3_value,stop_reason
.?AV?$ArkRunnableT1@VArkPacketDecoder@@PAVArkPacketObject@@@@,0x00AB299C,0,0x00A91A60,0x00A91A68,2,0x00000000,non_code:0xab29e8
.?AVArkPacketDecoder@@,0x00AB29E8,0,0x00A91A6C,0x00A91A70,1,0x00000000,non_code:0xab2a30
.?AVArkChannelAuth@@,0x00AB2A30,0,0x00A91A74,0x00A91A78,1,0x00000000,non_code:0x54534552
.?AV?$ArkCircularList@UFrameListEntry@ArkChannel@@@@,0x00AB2A78,0,0x00A91A84,0x00A91A88,1,0x00000000,non_code:0xab2ac0
.?AV?$ArkCircularList@U?$_Ht_iterator@V?$_Slist_iterator@IU?$_Nonconst_traits@I@stlp_std@@@priv@stlp_std@@U?$_NonLocalHashSetTraitsT@I@23@@priv@stlp_std@@@@,0x00AB2AC0,0,0x00A91A8C,0x00A91A90,1,0x00000000,non_code:0xab2b08
.?AVArkVegetationClimateFactory@@,0x00AB2B08,0,0x00A91A94,0x00A91AA0,3,0x00000000,non_code:0xab2b54
.?AVArkVegetationClimate@@,0x00AB2B54,0,0x00A91AA4,0x00A91AB0,3,0x00000000,non_code:0xab2ba0
.?AV?$NiTListBase@V?$DFALL@PAVMaPanelItem@@@@PAVMaPanelItem@@@@,0x00AB2BA0,0,0x00A91AB4,0x00A91AC0,3,0x00000000,non_code:0xab2be8
.?AV?$NiTListBase@V?$DFALL@PAVMaPanel@@@@PAVMaPanel@@@@,0x00AB2BE8,0,0x00A91AC4,0x00A91AD0,3,0x00000000,non_code:0xab2c30
.?AV?$NiTPointerListBase@V?$DFALL@PAVMaPanelItem@@@@PAVMaPanelItem@@@@,0x00AB2C30,0,0x00A91AD4,0x00A91AE0,3,0x00000000,non_code:0xab2c7c
.?AV?$NiTPointerListBase@V?$DFALL@PAVMaPanel@@@@PAVMaPanel@@@@,0x00AB2C7C,0,0x00A91AE4,0x00A91AF0,3,0x00000000,non_code:0xab2cc8
.?AV?$NiTList@PAVMaPanelItem@@@@,0x00AB2CC8,0,0x00A91AF4,0x00A91B00,3,0x00000000,non_code:0xab2d18
.?AV?$NiTList@PAVMaPanel@@@@,0x00AB2D18,0,0x00A91B04,0x00A91B10,3,0x00000000,non_code:0x6674742e
.?AVArkFont@@,0x00AB2D68,0,0x00A91B28,0x00A91B2C,1,0x00000000,non_code:0xab2db0
.?AVMaPanelItem@@,0x00AB2DB0,0,0x00A91B30,0x00A91B50,8,0x0083FA90,non_code:0xab2df8
.?AVMaPanelText@@,0x00AB2DF8,0,0x00A91B54,0x00A91B74,8,0x0083FA90,non_code:0xab2e44
.?AVMaPanelLine@@,0x00AB2E44,0,0x00A91B78,0x00A91B98,8,0x0083FA90,non_code:0xab2e90
.?AVMaPanelRect@@,0x00AB2E90,0,0x00A91B9C,0x00A91BBC,8,0x008402A0,non_code:0xab2edc
.?AVMaPanelMap@@,0x00AB2EDC,0,0x00A91BC0,0x00A91BE0,8,0x00840450,non_code:0x5858
.?AVArkPortalResourceItemFactory@@,0x00AB2F28,0,0x00A91C88,0x00A91C94,3,0x00000000,non_code:0x1
