class_name,col_va,col_offset,vtable_start,vtable_end,slot_count,slot3_value,stop_reason
.?AVImageItem@ArkUIObjectItem@@,0x00AB5BA0,0,0x00A94D64,0x00A94D70,3,0x00000000,non_code:0xab5bec
.?AVTextItem@ArkUIObjectItem@@,0x00AB5BEC,0,0x00A94D74,0x00A94D80,3,0x00000000,non_code:0xab5c38
.?AVProgressBarItem@ArkUIObjectItem@@,0x00AB5C38,0,0x00A94D84,0x00A94D90,3,0x00000000,non_code:0xab5c84
.?AVArkUIObjectItem@@,0x00AB5C84,0,0x00A94D94,0x00A94E00,27,0x00775CA0,non_code:0xab5d08
.?AVButton_Impl@ArkUI@@,0x00AB5D08,0,0x00A94E04,0x00A94F28,73,0x00775CA0,non_code:0xab5da0
.?AVButton@ArkUI@@,0x00AB5DA0,0,0x00A94F2C,0x00A94F34,2,0x00000000,non_code:0xab5e28
.?AVText@ArkUI@@,0x00AB5E28,0,0x00A94F38,0x00A94F40,2,0x00000000,non_code:0xab5e78
.?AVArkUITextSegment@@,0x00AB5E78,0,0x00A94F44,0x00A94F48,1,0x00000000,non_code:0xab5ec0
.?AVArkUITextField@@,0x00AB5EC0,0,0x00A94F4C,0x00A950C0,93,0x00775CA0,non_code:0x3f4ccccd
.?AVArkUIPanelHandle@@,0x00AB5F14,0,0x00A950CC,0x00A9512C,24,0x00775CA0,non_code:0x0
.?AVArkUIWindow@@,0x00AB5F7C,0,0x00A95134,0x00A9525C,74,0x00775CA0,non_code:0x0
.?AVArkUIGfxTemplateTextItem@@,0x00AB5FC8,0,0x00A95264,0x00A952C8,25,0x00775CA0,non_code:0xab6018
.?AVArkUIGfxTemplateProgressBarItem@@,0x00AB6018,0,0x00A952CC,0x00A95330,25,0x00775CA0,non_code:0xab6068
.?AVArkUIGfxTemplateImageItem@@,0x00AB6068,0,0x00A95334,0x00A95398,25,0x00775CA0,non_code:0xab60b8
.?AVArkUIGfxTemplate@@,0x00AB60B8,0,0x00A9539C,0x00A95410,29,0x00775CA0,non_code:0xab6178
.?AVArkUIList@@,0x00AB6178,328,0x00A95414,0x00A95490,31,0x007E19D0,non_code:0xab6104
.?AVArkUIList@@,0x00AB6104,0,0x00A95494,0x00A955B4,72,0x00775CA0,non_code:0xab61c4
.?AVList@ArkUI@@,0x00AB61C4,0,0x00A955B8,0x00A955C0,2,0x00000000,non_code:0xab6214
.?AV?$ComponentImpl@VTabControl_Impl@ArkUI@@@ArkUI@@,0x00AB6214,0,0x00A955C4,0x00A955CC,2,0x00000000,non_code:0xab6260
.?AVTabControl@ArkUI@@,0x00AB6260,0,0x00A955D0,0x00A955D8,2,0x00000000,non_code:0xab62b0
.?AVTabControl_Impl@ArkUI@@,0x00AB62B0,0,0x00A955DC,0x00A95704,74,0x00775CA0,non_code:0xab6308
.?AV?$ComponentImpl@VTreeView_Impl@ArkUI@@@ArkUI@@,0x00AB6308,0,0x00A95708,0x00A95710,2,0x00000000,non_code:0xab6354
.?AVTreeView@ArkUI@@,0x00AB6354,0,0x00A95714,0x00A9571C,2,0x00000000,non_code:0x0
.?AVTreeView_Impl@ArkUI@@,0x00AB63A4,0,0x00A95724,0x00A95864,80,0x00775CA0,non_code:0xab63fc
.?AV?$ComponentImpl@VValueSpinner_Impl@ArkUI@@@ArkUI@@,0x00AB63FC,0,0x00A95868,0x00A95870,2,0x00000000,non_code:0xab6448
.?AVValueSpinner@ArkUI@@,0x00AB6448,0,0x00A95874,0x00A9587C,2,0x00000000,non_code:0x0
.?AVValueSpinner_Impl@ArkUI@@,0x00AB6498,0,0x00A95884,0x00A959B4,76,0x00775CA0,non_code:0xab64f0
.?AV?$ComponentImpl@VArkProgressUI_Impl@@@ArkUI@@,0x00AB64F0,0,0x00A959B8,0x00A959C0,2,0x00000000,non_code:0x0
.?AV?$WindowImpl@VArkProgressUI_Impl@@@ArkUI@@,0x00AB653C,0,0x00A959CC,0x00A959D4,2,0x00000000,non_code:0xab658c
.?AVArkProgressUI@@,0x00AB658C,0,0x00A959D8,0x00A959E0,2,0x00000000,non_code:0xab65e0
.?AVArkProgressUI_Impl@@,0x00AB65E0,0,0x00A959E4,0x00A95B14,76,0x00775CA0,non_code:0x0
.?AVPanel_Impl@ArkUI@@,0x00AB6638,0,0x00A95B1C,0x00A95C3C,72,0x00775CA0,non_code:0xab6690
.?AV?$ComponentImpl@VArkUINonVisibleComponent@@@ArkUI@@,0x00AB6690,0,0x00A95C40,0x00A95C48,2,0x00000000,non_code:0xab66dc
.?AVArkUITreeViewItem@@,0x00AB66DC,0,0x00A95C4C,0x00A95CBC,28,0x00775CA0,non_code:0x0
.?AVArkUICheckBox@@,0x00AB6764,0,0x00A95CC4,0x00A95DE8,73,0x004926E0,non_code:0xab67b8
.?AVArkUIProgressBar@@,0x00AB67B8,0,0x00A95DEC,0x00A95F0C,72,0x00775CA0,non_code:0x3dcccccd
.?AVArkUITreeView@@,0x00AB680C,0,0x00A95F1C,0x00A96090,93,0x00775CA0,non_code:0xab689c
.?AVImage@ArkUI@@,0x00AB689C,0,0x00A96094,0x00A9609C,2,0x00000000,non_code:0xab6924
.?AVProgressBar@ArkUI@@,0x00AB6924,0,0x00A960A0,0x00A960A8,2,0x00000000,non_code:0xab6974
.?AVArkUIScrollBar@@,0x00AB6974,0,0x00A960AC,0x00A961D8,75,0x00775CA0,non_code:0xab69c8
.?AVArkUITextFieldViewPort@@,0x00AB69C8,0,0x00A961DC,0x00A962C4,58,0x00775CA0,non_code:0xab6a58
.?AV?$ComponentImpl@VItemList_Impl@ArkUI@@@ArkUI@@,0x00AB6A58,0,0x00A962C8,0x00A962D0,2,0x00000000,non_code:0xab6aa4
.?AVItemList@ArkUI@@,0x00AB6AA4,0,0x00A962D4,0x00A962EC,6,0x00585180,non_code:0x0
.?AVArkUITextInputField@@,0x00AB6AF4,0,0x00A962F4,0x00A96474,96,0x00775CA0,non_code:0xab6b84
.?AVEdit@ArkUI@@,0x00AB6B84,0,0x00A96478,0x00A96480,2,0x00000000,non_code:0xab6bd4
.?AVArkUIButton@@,0x00AB6BD4,0,0x00A96484,0x00A965A8,73,0x00775CA0,non_code:0xab6be8
.?AVArkUIGfxTemplateSet@@,0x00AB6BE8,0,0x00A965AC,0x00A96620,29,0x00775CA0,non_code:0xab6c70
.?AVScrollBar@ArkUI@@,0x00AB6C70,0,0x00A96624,0x00A9662C,2,0x00000000,non_code:0x0
.?AVArkUIScrollBar2d@@,0x00AB6CC0,0,0x00A96634,0x00A96754,72,0x00775CA0,non_code:0x7f800000
.?AVArkUIGfxTemplateUser@@,0x00AB6D14,0,0x00A9675C,0x00A96760,1,0x00000000,non_code:0xab6dd0
.?AVArkUIContainer@@,0x00AB6DD0,328,0x00A96764,0x00A96768,1,0x00000000,non_code:0xab6d5c
.?AVArkUIContainer@@,0x00AB6D5C,0,0x00A9676C,0x00A96890,73,0x00775CA0,non_code:0xab6ea0
.?AVArkUIGridViewPort@@,0x00AB6EA0,8,0x00A96894,0x00A96898,1,0x00000000,non_code:0xab6de4
.?AVArkUIGridViewPort@@,0x00AB6DE4,0,0x00A9689C,0x00A969A0,65,0x00775CA0,non_code:0xab6f10
.?AVArkUISegmentViewPort@@,0x00AB6F10,8,0x00A969A4,0x00A969A8,1,0x00000000,non_code:0xab6eb4
.?AVArkUISegmentViewPort@@,0x00AB6EB4,0,0x00A969AC,0x00A96AAC,64,0x00775CA0,non_code:0x0
.?AVArkUINonVisibleComponent@@,0x00AB6F24,0,0x00A96AB4,0x00A96BD4,72,0x00775CA0,non_code:0xab6f38
.?AV?$ComponentImpl@VTextSpinner_Impl@ArkUI@@@ArkUI@@,0x00AB6F38,0,0x00A96BD8,0x00A96BE0,2,0x00000000,non_code:0xab6f84
.?AVTextSpinner@ArkUI@@,0x00AB6F84,0,0x00A96BE4,0x00A96BEC,2,0x00000000,non_code:0x0
.?AVTextSpinner_Impl@ArkUI@@,0x00AB6FD4,0,0x00A96BF4,0x00A96D1C,74,0x00775CA0,non_code:0xab702c
.?AV?$ComponentImpl@VCalendar_Impl@ArkUI@@@ArkUI@@,0x00AB702C,0,0x00A96D20,0x00A96D28,2,0x00000000,non_code:0xab7078
.?AVCalendar@ArkUI@@,0x00AB7078,0,0x00A96D2C,0x00A96D34,2,0x00000000,non_code:0x202d20
.?AVCalendar_Impl@ArkUI@@,0x00AB70C8,0,0x00A96D3C,0x00A96E7C,80,0x00775CA0,non_code:0x7553
.?AVContainer@ArkUI@@,0x00AB7154,0,0x00A96E94,0x00A96E9C,2,0x00000000,non_code:0xab71dc
.?AVToolTip@ArkUI@@,0x00AB71DC,0,0x00A96EA0,0x00A96EA8,2,0x00000000,non_code:0xab722c
.?AVArkUIToolTip@@,0x00AB722C,0,0x00A96EAC,0x00A96FCC,72,0x00775CA0,non_code:0x0
.?AVArkUIType@@,0x00AB7280,0,0x00A96FD4,0x00A97034,24,0x00775CA0,non_code:0x0
.?AVArkUITextLine@@,0x00AB7294,0,0x00A9703C,0x00A970A4,26,0x00775CA0,non_code:0x0
.?AVArkUIViewPort@@,0x00AB72A8,0,0x00A970AC,0x00A97190,57,0x00775CA0,non_code:0xab72d0
.?AVArkUIScrollBarViewPort@@,0x00AB72D0,8,0x00A97194,0x00A97198,1,0x00000000,non_code:0xab72bc
.?AVArkUIScrollBarViewPort@@,0x00AB72BC,0,0x00A9719C,0x00A9729C,64,0x00775CA0,non_code:0x646e6552
.?AVNiArkRenderInterface@@,0x00AB72E4,0,0x00A972C4,0x00A972D0,3,0x00000000,non_code:0xab732c
.?AVArkViewPortContent@@,0x00AB732C,0,0x00A972D4,0x00A972E0,3,0x00000000,non_code:0x3f91361e
.?AVArkTerrainPatchFactory@@,0x00AB7378,0,0x00A97BE4,0x00A97BF0,3,0x00000000,non_code:0xab73c4
.?AVArkHeightFieldInterface@@,0x00AB73C4,0,0x00A97BF4,0x00A97BFC,2,0x00000000,non_code:0xab73d8
.?AVArkIntersectableInterface@@,0x00AB73D8,0,0x00A97C00,0x00A97C0C,3,0x00000000,non_code:0xab7400
.?AVMaTerrainManager@@,0x00AB7400,4,0x00A97C10,0x00A97C1C,3,0x00000000,non_code:0xab73ec
.?AVMaTerrainManager@@,0x00AB73EC,0,0x00A97C20,0x00A97C28,2,0x00000000,non_code:0xab7414
.?AVMaTerrainMapPatch@@,0x00AB7414,0,0x00A97C2C,0x00A97C38,3,0x00000000,non_code:0x6554614d
.?AVMaTerrainMapManager@@,0x00AB7460,0,0x00A97C50,0x00A97C5C,3,0x00000000,non_code:0x0
.?AVMaTerrainMapPatchLayer@@,0x00AB74A8,0,0x00A97C74,0x00A97C78,1,0x00000000,non_code:0x3b490fdb
.?AVArkTerrainEditZoneFactory@@,0x00AB74F0,0,0x00A97D24,0x00A97D30,3,0x00000000,non_code:0xccbebc20
.?AVMaTerrainMapManagerClient@@,0x00AB753C,0,0x00A97D3C,0x00A97D54,6,0x00942920,non_code:0x43000000
.?AVArkVegetationCacheElementFactory@@,0x00AB7588,0,0x00A97D5C,0x00A97D64,2,0x00000000,non_code:0xab75d0
.?AVArkVegetationObserver@@,0x00AB75D0,0,0x00A97D68,0x00A97D74,3,0x00000000,non_code:0xab7618
.?AV_GraphicPatchFactory@ArkVegetationVisualizer@@,0x00AB7618,0,0x00A97D78,0x00A97D80,2,0x00000000,non_code:0xab7664
.?AV_RenderModelFactory@ArkVegetationVisualizer@@,0x00AB7664,0,0x00A97D84,0x00A97D8C,2,0x00000000,non_code:0xab771c
.?AVArkVegetationVisualizer@@,0x00AB771C,8,0x00A97D90,0x00A97D9C,3,0x00000000,non_code:0xab76b0
.?AVArkVegetationVisualizer@@,0x00AB76B0,0,0x00A97DA0,0x00A97DA4,1,0x00000000,non_code:0x42000000
.?AVMaTerrainMapTesselator@@,0x00AB7730,0,0x00A97DAC,0x00A97DC0,5,0x00946130,non_code:0x44000000
.?AVArkSceneObjectFactory@@,0x00AB7778,0,0x00A97DD0,0x00A97DD8,2,0x00000000,non_code:0x43960000
.?AVArkVegetationClient@@,0x00AB7860,4,0x00A97DE0,0x00A97DE8,2,0x00000000,non_code:0xab77c0
.?AVArkVegetationClient@@,0x00AB77C0,0,0x00A97DEC,0x00A97DF4,2,0x00000000,non_code:0x566b7241
.?AV?$ArkFXPShared@VMaVector@@@@,0x00AB7874,0,0x00A97EF0,0x00A97EF8,2,0x00000000,non_code:0x5f4b5241
.?AVArkTerrainEditZoneGroup@@,0x00AB78C4,0,0x00A97F60,0x00A97F6C,3,0x00000000,non_code:0xab7910
.?AVArkVegetationCache@@,0x00AB7910,0,0x00A97F70,0x00A97F74,1,0x00000000,non_code:0xab7958
.?AVArkVegetationCacheElement@@,0x00AB7958,0,0x00A97F78,0x00A97F7C,1,0x00000000,non_code:0xab7a0c
.?AVArkVegetationGraphicPatch@@,0x00AB7A0C,16,0x00A97F80,0x00A97F8C,3,0x00000000,non_code:0xab79a0
.?AVArkVegetationGraphicPatch@@,0x00AB79A0,0,0x00A97F90,0x00A97F94,1,0x00000000,non_code:0xd368d4a5
.?AVArkVegetationRenderModel@@,0x00AB7A20,0,0x00A97FA4,0x00A97FA8,1,0x00000000,non_code:0x0
.?AVArkVegetationGraphicLayerCache@@,0x00AB7A6C,0,0x00A97FBC,0x00A97FC0,1,0x00000000,non_code:0xab7ab4
.?AVArkBillboardRenderer@@,0x00AB7AB4,0,0x00A97FC4,0x00A97FC8,1,0x00000000,non_code:0xc7c35000
.?AVArkVegetationLODSettings@@,0x00AB7AFC,0,0x00A97FD0,0x00A97FD4,1,0x00000000,non_code:0xab7b44
.?AVArkModelSource@@,0x00AB7B44,0,0x00A97FD8,0x00A97FE0,2,0x00000000,non_code:0xab7b58
.?AVArkHeightFieldSource@@,0x00AB7B58,0,0x00A97FE4,0x00A97FF0,3,0x00000000,non_code:0xab7ba0
.?AVArkVegetationHeightFieldSourceClient@@,0x00AB7BA0,0,0x00A97FF4,0x00A98000,3,0x00000000,non_code:0xab7bec
.?AVArkVegetationDataSource@@,0x00AB7BEC,0,0x00A98004,0x00A98018,5,0x0095D4FA,non_code:0xab7c34
.?AVArkVegetationPatchSourceClient@@,0x00AB7C34,0,0x00A9801C,0x00A98030,5,0x0040BB70,non_code:0xab7c80
.?AVArkVegetationShadowSourceClient@@,0x00AB7C80,0,0x00A98034,0x00A9804C,6,0x00958930,non_code:0xab7d00
.?AVArkSceneObject@@,0x00AB7D00,0,0x00A98050,0x00A98058,2,0x00000000,non_code:0xab7d48
.?AVArkVegetationSceneObjectSimple@@,0x00AB7D48,0,0x00A9805C,0x00A98064,2,0x00000000,non_code:0xab7d94
.?AVArkVegetationModelClient@@,0x00AB7D94,0,0x00A98068,0x00A98074,3,0x00000000,non_code:0xbf800000
.?AVArkVegetationSpawnSettings@@,0x00AB7E14,0,0x00A980C0,0x00A980C4,1,0x00000000,non_code:0xab7e5c
.?AVArkVegetationGraphicLayer@@,0x00AB7E5C,0,0x00A980C8,0x00A980CC,1,0x00000000,non_code:0x0
.?AVArkVegetationShadowSource@@,0x00AB7EA4,0,0x00A980E4,0x00A980FC,6,0x0095D4FA,non_code:0xab7eb8
.?AVArkModelInterface@@,0x00AB7EB8,0,0x00A98100,0x00A9810C,3,0x00000000,non_code:0xab7ecc
.?AVtype_info@@,0x00AB7ECC,0,0x00A98110,0x00A98114,1,0x00000000,non_code:0xba8e70
.?AVsystem_error_category@?A0x69b7e3ee@@,0x00AB7F14,0,0x00A98120,0x00A98138,6,0x0095EA10,non_code:0x49534f50
.?AVposix_error_category@?A0x69b7e3ee@@,0x00AB7F64,0,0x00A9815C,0x00A98174,6,0x0066C0A0,non_code:0x736f6f62
.?AVArkFileBunter@@,0x00AB7FB4,0,0x00A9BF28,0x00A9BF2C,1,0x00000000,non_code:0x32544e42
.?AVArkFileFinder@@,0x00AB7FFC,0,0x00A9BF48,0x00A9BF4C,1,0x00000000,non_code:0x0
.?AURT@?$ArkTraits@VMaVector@@@@,0x00AB807C,0,0x00A9C45C,0x00A9C47C,8,0x0096BE40,non_code:0x2928
.?AV?$ArkRunnableT1@VArkTimerExecutor@@VArkFunction@@@@,0x00AB80CC,0,0x00A9C4C4,0x00A9C4CC,2,0x00000000,non_code:0xab8118
.?AVArkTimerExecutor@@,0x00AB8118,0,0x00A9C4D0,0x00A9C4D8,2,0x00000000,non_code:0x566b7241
.?AURT@?$ArkTraits@VArkCID@@@@,0x00AB8274,0,0x00A9C604,0x00A9C624,8,0x009771B0,non_code:0xab82c4
.?AURT@?$ArkTraits@V?$vector@VArkCID@@V?$allocator@VArkCID@@@stlp_std@@@stlp_std@@@@,0x00AB82C4,0,0x00A9C628,0x00A9C648,8,0x009771E0,non_code:0xab8314
.?AUArkRTTraitsFloat@@,0x00AB8314,0,0x00A9C64C,0x00A9C66C,8,0x009781E0,non_code:0xab8360
.?AUArkRTTraitsInt@@,0x00AB8360,0,0x00A9C670,0x00A9C690,8,0x009781C0,non_code:0xab848c
.?AURT@?$ArkTraits@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@@@,0x00AB848C,0,0x00A9C694,0x00A9C6B4,8,0x00977B00,non_code:0xab84dc
.?AURT@?$ArkTraits@V?$vector@HV?$allocator@H@stlp_std@@@stlp_std@@@@,0x00AB84DC,0,0x00A9C6B8,0x00A9C6D8,8,0x00978200,non_code:0xab852c
.?AURT@?$ArkTraits@V?$vector@MV?$allocator@M@stlp_std@@@stlp_std@@@@,0x00AB852C,0,0x00A9C6DC,0x00A9C6FC,8,0x00978240,non_code:0xab857c
.?AURT@?$ArkTraits@V?$vector@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@V?$allocator@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@@2@@stlp_std@@@@,0x00AB857C,0,0x00A9C700,0x00A9C720,8,0x00978800,non_code:0xab85cc
.?AV?$ArkRunnableT1@VArkThreadPool@@V?$function@$$A6AXXZV?$allocator@X@stlp_std@@@boost@@@@,0x00AB85CC,0,0x00A9C724,0x00A9C72C,2,0x00000000,non_code:0xab8618
.?AVArkThreadPool@@,0x00AB8618,0,0x00A9C730,0x00A9C738,2,0x00000000,non_code:0x6554694e
.?AVNiTextureTransformController@@,0x00AB8664,0,0x00A9C8B4,0x00A9C920,27,0x0097FD10,non_code:0xab86b8
.?AVNiColorData@@,0x00AB86B8,0,0x00A9C924,0x00A9C95C,14,0x00864230,non_code:0x0
.?AVNiExtraDataController@@,0x00AB8708,0,0x00A9C964,0x00A9C9D0,27,0x00864230,non_code:0xab875c
.?AVNiColorExtraDataController@@,0x00AB875C,0,0x00A9C9D4,0x00A9CA40,27,0x00980490,non_code:0xab87b4
.?AVNiFloatsExtraDataController@@,0x00AB87B4,0,0x00A9CA44,0x00A9CAB0,27,0x00980B00,non_code:0x46695f6d
.?AVNiFloatExtraDataController@@,0x00AB880C,0,0x00A9CACC,0x00A9CB38,27,0x00981180,non_code:0xab8864
.?AVNiVisController@@,0x00AB8864,0,0x00A9CB3C,0x00A9CBA8,27,0x009817D0,non_code:0xab88b8
.?AVNiUVData@@,0x00AB88B8,0,0x00A9CBAC,0x00A9CBE4,14,0x00864230,non_code:0x69755f6d
.?AVNiUVController@@,0x00AB8908,0,0x00A9CC3C,0x00A9CCA8,27,0x00982890,non_code:0xab895c
.?AVNiFloatController@@,0x00AB895C,0,0x00A9CCAC,0x00A9CD18,27,0x00864230,non_code:0xab89b0
.?AVNiRollController@@,0x00AB89B0,0,0x00A9CD1C,0x00A9CD88,27,0x00982AE0,non_code:0xab8a08
.?AVNiPosData@@,0x00AB8A08,0,0x00A9CD8C,0x00A9CDC4,14,0x00864230,non_code:0x0
.?AVNiPathController@@,0x00AB8A58,0,0x00A9CDCC,0x00A9CE38,27,0x00984540,non_code:0xab8aac
.?AVNiMaterialColorController@@,0x00AB8AAC,0,0x00A9CE3C,0x00A9CEA8,27,0x00984EC0,non_code:0xab8b00
.?AVNiMorphData@@,0x00AB8B00,0,0x00A9CEAC,0x00A9CEE4,14,0x00864230,non_code:0x69755f6d
.?AVNiLookAtController@@,0x00AB8B50,0,0x00A9CF14,0x00A9CF80,27,0x00985D00,non_code:0x3f8020c5
.?AVNiLightColorController@@,0x00AB8BA4,0,0x00A9CF8C,0x00A9CFF8,27,0x009867C0,non_code:0xab8bf8
.?AVNiGeomMorpherController@@,0x00AB8BF8,0,0x00A9CFFC,0x00A9D070,29,0x00986DC0,non_code:0xab8c90
.?AV?$NiTArray@PAV?$NiTSet@PAVNiNode@@@@@@,0x00AB8C90,0,0x00A9D074,0x00A9D078,1,0x00000000,non_code:0xab8cd8
.?AV?$NiTArray@PAV?$NiTSet@PAUSkinInfo@NiBoneLODController@@@@@@,0x00AB8CD8,0,0x00A9D07C,0x00A9D080,1,0x00000000,non_code:0xab8d20
.?AVNiBoneLODController@@,0x00AB8D20,0,0x00A9D084,0x00A9D0F0,27,0x00987530,non_code:0x69755f6d
.?AVNiAlphaController@@,0x00AB8D74,0,0x00A9D10C,0x00A9D178,27,0x00988870,non_code:0xffffffff
.?AVNiMorpherController@@,0x00AB8DCC,0,0x00A9D1C4,0x00A9D238,29,0x00864230,non_code:0x6f4d694e
.?AVArkDensityField@@,0x00AB8DE0,0,0x00A9D25C,0x00A9D260,1,0x00000000,non_code:0x477fff00
.?AVArkVegetationPatchComponent@@,0x00AB8EFC,36,0x00A9D26C,0x00A9D278,3,0x00000000,non_code:0xab8ee8
.?AVArkVegetationPatchComponent@@,0x00AB8EE8,8,0x00A9D27C,0x00A9D280,1,0x00000000,non_code:0xab8e28
.?AVArkVegetationPatchComponent@@,0x00AB8E28,0,0x00A9D284,0x00A9D290,3,0x00000000,non_code:0xab8f10
.?AVArkVegetationObservable@@,0x00AB8F10,0,0x00A9D294,0x00A9D298,1,0x00000000,non_code:0x2
.?AVArkVegetationPatch@@,0x00AB8FCC,20,0x00A9D2A8,0x00A9D2AC,1,0x00000000,non_code:0xab8f24
.?AVArkVegetationPatch@@,0x00AB8F24,0,0x00A9D2B0,0x00A9D2BC,3,0x00000000,non_code:0xab8fe0
.?AVArkVegetationLibraryObject@@,0x00AB8FE0,0,0x00A9D2C0,0x00A9D2CC,3,0x00000000,non_code:0xab9044
.?AVArkVegetationMapManager@@,0x00AB9044,8,0x00A9D2D0,0x00A9D2D4,1,0x00000000,non_code:0xab8ff4
.?AVArkVegetationMapManager@@,0x00AB8FF4,0,0x00A9D2D8,0x00A9D2DC,1,0x00000000,non_code:0xab9058
.?AVArkVegetationLibraryObjectFactory@@,0x00AB9058,0,0x00A9D2E0,0x00A9D2E8,2,0x00000000,non_code:0xab90a0
.?AVArkVegetationPatchFactory@@,0x00AB90A0,0,0x00A9D2EC,0x00A9D2F4,2,0x00000000,non_code:0xab90ec
.?AVArkVegetationLayerFactory@@,0x00AB90EC,0,0x00A9D2F8,0x00A9D300,2,0x00000000,non_code:0xab9138
.?AVArkVegetationLibrary@@,0x00AB9138,0,0x00A9D304,0x00A9D308,1,0x00000000,non_code:0xab9184
.?AVArkVegetationModelFactory@@,0x00AB9184,0,0x00A9D30C,0x00A9D314,2,0x00000000,non_code:0xab91d0
.?AVArkVegetationExplicitPatchIterator@@,0x00AB91D0,0,0x00A9D318,0x00A9D31C,1,0x00000000,non_code:0xab9284
.?AVArkVegetationExplicitPatch@@,0x00AB9284,4,0x00A9D320,0x00A9D324,1,0x00000000,non_code:0xab9218
.?AVArkVegetationExplicitPatch@@,0x00AB9218,0,0x00A9D328,0x00A9D334,3,0x00000000,non_code:0xab9298
.?AVArkVegetationRandomNumberGenerator@@,0x00AB9298,0,0x00A9D338,0x00A9D33C,1,0x00000000,non_code:0xc7c35000
.?AVArkVegetationExplicitPatchComponent@@,0x00AB92E0,0,0x00A9D344,0x00A9D348,1,0x00000000,non_code:0x6
.?AVArkVegetationLayer@@,0x00AB937C,20,0x00A9D360,0x00A9D364,1,0x00000000,non_code:0xab9328
.?AVArkVegetationLayer@@,0x00AB9328,0,0x00A9D368,0x00A9D374,3,0x00000000,non_code:0xab93fc
.?AVArkVegetationPatchComponentHack@@,0x00AB93FC,36,0x00A9D378,0x00A9D384,3,0x00000000,non_code:0xab93e8
.?AVArkVegetationPatchComponentHack@@,0x00AB93E8,8,0x00A9D388,0x00A9D38C,1,0x00000000,non_code:0xab9390
.?AVArkVegetationPatchComponentHack@@,0x00AB9390,0,0x00A9D390,0x00A9D39C,3,0x00000000,non_code:0xab947c
.?AVArkVegetationPatchComponentReal@@,0x00AB947C,36,0x00A9D3A0,0x00A9D3AC,3,0x00000000,non_code:0xab9468
.?AVArkVegetationPatchComponentReal@@,0x00AB9468,8,0x00A9D3B0,0x00A9D3B4,1,0x00000000,non_code:0xab9410
.?AVArkVegetationPatchComponentReal@@,0x00AB9410,0,0x00A9D3B8,0x00A9D3C4,3,0x00000000,non_code:0xab9490
.?AVArkVegetationLibraryStore@@,0x00AB9490,0,0x00A9D3C8,0x00A9D3CC,1,0x00000000,non_code:0xab94d8
.?AVArkVegetationSpawner@@,0x00AB94D8,0,0x00A9D3D0,0x00A9D3D4,1,0x00000000,non_code:0x0
.?AVArkVegetationLayerComponent@@,0x00AB9570,8,0x00A9D3E8,0x00A9D3EC,1,0x00000000,non_code:0xab9520
.?AVArkVegetationLayerComponent@@,0x00AB9520,0,0x00A9D3F0,0x00A9D3F4,1,0x00000000,non_code:0x1
.?AVArkVegetationModel@@,0x00AB95D8,20,0x00A9D404,0x00A9D408,1,0x00000000,non_code:0xab9584
.?AVArkVegetationModel@@,0x00AB9584,0,0x00A9D40C,0x00A9D418,3,0x00000000,non_code:0xab963c
.?AVArkHeightTree@@,0x00AB963C,4,0x00A9D41C,0x00A9D428,3,0x00000000,non_code:0xab95ec
.?AVArkHeightTree@@,0x00AB95EC,0,0x00A9D42C,0x00A9D434,2,0x00000000,non_code:0x0
.?AVArkPaintBrush8@@,0x00AB9650,0,0x00A9D44C,0x00A9D494,18,0x00992670,non_code:0x0
.?AVArkPaintBrush@@,0x00AB96D0,0,0x00A9D49C,0x00A9D4E4,18,0x00992670,non_code:0xbaa000
