nif,nitrishape_block,texturing_property_ref,arktexture_block,arktexture_entry_idx
101358.nif,18,4,3,0
101358.nif,20,5,3,1
101358.nif,22,6,3,2
101358.nif,26,11,3,7
101358.nif,30,12,3,8
101358.nif,34,7,3,3
101358.nif,38,10,3,6
101358.nif,43,8,3,4
101358.nif,47,9,3,5
101374.nif,18,4,3,0
101374.nif,20,5,3,1
101374.nif,22,6,3,2
101374.nif,25,7,3,3
101374.nif,29,10,3,6
101374.nif,34,8,3,4
101374.nif,38,9,3,5
101374.nif,42,11,3,7
101374.nif,46,12,3,8
103241.nif,12,4,3,0
103247.nif,12,4,3,0
103278.nif,9,4,3,0
103278.nif,9,4,3,1
103296.nif,12,4,3,0
103328.nif,12,4,3,0
103341.nif,12,4,3,0
103357.nif,12,4,3,0
103370.nif,9,4,3,0
103383.nif,12,4,3,0
103396.nif,12,4,3,0
103409.nif,12,4,3,0
103422.nif,12,4,3,0
103435.nif,12,4,3,0
103698.nif,12,4,3,0
103711.nif,12,4,3,0
103724.nif,12,4,3,0
103738.nif,12,4,3,0
103751.nif,12,4,3,0
103764.nif,12,4,3,0
103777.nif,12,4,3,0
103790.nif,12,4,3,0
103803.nif,12,4,3,0
103838.nif,12,4,3,0
103852.nif,12,4,3,0
103866.nif,12,4,3,0
103879.nif,12,4,3,0
103895.nif,12,4,3,0
103909.nif,12,4,3,0
103922.nif,12,4,3,0
103936.nif,12,4,3,0
103949.nif,12,4,3,0
103994.nif,8,4,2,0
104014.nif,10,4,3,0
104130.nif,12,4,3,0
104154.nif,12,4,3,0
104176.nif,12,4,3,0
104197.nif,12,4,3,0
104213.nif,12,4,3,0
104229.nif,12,4,3,0
1054.nif,18,19,279,33
1054.nif,18,19,279,34
1054.nif,18,19,279,35
1054.nif,77,78,279,9
1054.nif,77,78,279,10
1054.nif,77,78,279,11
1054.nif,82,83,279,3
1054.nif,82,83,279,4
1054.nif,82,83,279,5
1054.nif,89,90,279,45
1054.nif,89,90,279,46
1054.nif,89,90,279,47
1054.nif,150,151,279,6
1054.nif,150,151,279,7
1054.nif,150,151,279,8
1054.nif,155,156,279,12
1054.nif,155,156,279,13
1054.nif,155,156,279,14
1054.nif,162,163,279,60
1054.nif,162,163,279,61
1054.nif,162,163,279,62
1054.nif,173,174,279,63
1054.nif,173,174,279,64
1054.nif,173,174,279,65
1054.nif,180,181,279,69
1054.nif,180,181,279,70
1054.nif,180,181,279,71
1054.nif,185,186,279,66
1054.nif,185,186,279,67
1054.nif,185,186,279,68
1054.nif,211,212,279,39
1054.nif,211,212,279,40
1054.nif,211,212,279,41
1054.nif,218,219,279,36
1054.nif,218,219,279,37
1054.nif,218,219,279,38
1054.nif,225,226,279,42
1054.nif,225,226,279,43
1054.nif,225,226,279,44
1054.nif,251,252,279,54
1054.nif,251,252,279,55
1054.nif,251,252,279,56
1054.nif,258,259,279,51
1054.nif,258,259,279,52
1054.nif,258,259,279,53
1054.nif,265,266,279,57
1054.nif,265,266,279,58
1054.nif,265,266,279,59
1054.nif,272,273,279,48
1054.nif,272,273,279,49
1054.nif,272,273,279,50
1054.nif,286,280,279,0
1054.nif,286,280,279,1
1054.nif,286,280,279,2
105623.nif,12,4,3,0
105641.nif,12,4,3,0
105660.nif,12,4,3,0
105677.nif,12,4,3,0
105694.nif,12,4,3,0
105710.nif,12,4,3,0
105726.nif,12,4,3,0
105746.nif,12,4,3,0
105762.nif,12,4,3,0
105778.nif,12,4,3,0
105794.nif,12,4,3,0
105811.nif,12,4,3,0
105828.nif,12,4,3,0
105844.nif,12,4,3,0
105860.nif,9,4,3,0
105876.nif,12,4,3,0
105894.nif,12,4,3,0
105911.nif,12,4,3,0
105927.nif,11,4,3,0
107707.nif,17,13,2,9
107707.nif,17,13,2,10
107707.nif,22,5,2,1
107707.nif,27,6,2,2
107707.nif,32,7,2,3
107707.nif,36,8,2,4
107707.nif,41,9,2,5
107707.nif,46,10,2,6
107707.nif,51,11,2,7
107707.nif,56,12,2,8
107707.nif,60,4,2,0
107734.nif,12,4,3,0
107749.nif,12,4,3,0
107991.nif,8,4,2,0
107995.nif,8,4,2,0
108320.nif,8,4,2,0
108324.nif,8,4,2,0
108587.nif,12,4,3,0
108592.nif,12,4,3,0
108597.nif,12,4,3,0
108601.nif,12,4,3,0
108605.nif,12,4,3,0
108674.nif,12,4,3,0
108804.nif,93,88,87,0
108804.nif,93,88,87,1
109106.nif,9,4,3,0
109125.nif,13,4,2,0
109125.nif,17,5,2,1
109125.nif,17,5,2,2
109125.nif,20,6,2,3
109125.nif,24,7,2,4
109125.nif,28,8,2,5
109147.nif,12,4,3,0
109163.nif,12,4,3,0
109179.nif,12,4,3,0
109240.nif,12,4,3,0
109378.nif,12,4,3,0
109386.nif,12,4,3,0
109487.nif,12,4,3,0
109491.nif,12,4,3,0
109495.nif,12,4,3,0
111124.nif,12,4,3,0
111143.nif,12,4,3,0
111160.nif,12,4,3,0
112340.nif,9,4,2,0
112340.nif,9,4,2,1
112340.nif,15,5,2,2
112340.nif,15,5,2,3
112372.nif,9,4,3,0
112894.nif,12,4,3,0
113767.nif,12,4,2,0
11692.nif,14,6,3,2
11692.nif,21,4,3,0
11692.nif,28,5,3,1
11701.nif,5,6,37,2
11701.nif,28,29,37,3
11701.nif,43,38,37,0
11701.nif,43,38,37,1
11708.nif,115,110,109,0
117224.nif,12,4,3,0
121672.nif,12,5,2,1
121672.nif,17,4,2,0
121728.nif,56,4,2,0
121728.nif,56,4,2,1
12467.nif,10,6,2,3
12467.nif,15,4,2,0
12467.nif,15,4,2,1
12467.nif,18,5,2,2
124965.nif,7,8,27,0
124965.nif,17,18,27,3
126740.nif,31,24,2,23
126740.nif,43,4,2,0
126740.nif,46,5,2,1
126740.nif,46,5,2,2
126740.nif,49,6,2,3
126740.nif,52,7,2,4
126740.nif,55,8,2,5
126740.nif,58,9,2,6
126740.nif,61,10,2,7
126740.nif,64,11,2,8
126740.nif,68,16,2,14
126740.nif,68,16,2,15
126740.nif,75,17,2,16
126740.nif,81,14,2,12
126740.nif,85,12,2,9
126740.nif,85,12,2,10
126740.nif,89,13,2,11
126740.nif,94,15,2,13
126740.nif,128,18,2,17
126740.nif,134,19,2,18
126740.nif,140,20,2,19
126740.nif,146,21,2,20
126740.nif,152,22,2,21
126740.nif,158,23,2,22
127427.nif,20,14,2,12
127427.nif,20,14,2,13
127427.nif,26,4,2,0
127427.nif,29,5,2,1
127427.nif,32,6,2,2
127427.nif,35,7,2,3
127427.nif,35,7,2,4
127427.nif,38,8,2,5
127427.nif,41,9,2,6
127427.nif,44,10,2,7
127427.nif,47,11,2,8
127427.nif,51,15,2,14
127427.nif,51,15,2,15
127427.nif,57,13,2,11
127427.nif,61,12,2,9
127427.nif,61,12,2,10
127561.nif,23,4,2,0
127561.nif,23,4,2,1
127561.nif,27,6,2,3
127561.nif,27,6,2,4
127561.nif,32,7,2,5
127561.nif,38,8,2,6
127561.nif,40,9,2,7
127561.nif,42,10,2,8
127561.nif,44,11,2,9
127561.nif,46,12,2,10
127561.nif,48,13,2,11
127561.nif,50,14,2,12
127561.nif,55,15,2,13
127561.nif,59,16,2,14
127561.nif,64,17,2,15
127561.nif,64,17,2,16
127561.nif,130,18,2,17
127561.nif,136,19,2,18
127603.nif,24,4,2,0
127603.nif,27,5,2,1
127603.nif,30,6,2,2
127603.nif,33,7,2,3
127603.nif,36,8,2,4
127603.nif,39,9,2,5
127603.nif,42,10,2,6
127603.nif,45,11,2,7
127603.nif,49,12,2,8
127603.nif,49,12,2,9
127603.nif,54,13,2,10
127723.nif,22,4,2,0
127723.nif,25,5,2,1
127723.nif,28,6,2,2
127723.nif,31,7,2,3
127723.nif,34,8,2,4
127723.nif,37,9,2,5
127723.nif,40,10,2,6
127723.nif,40,10,2,7
127723.nif,43,11,2,8
127723.nif,48,13,2,10
127723.nif,48,13,2,11
127723.nif,53,14,2,12
127723.nif,59,15,2,13
127723.nif,120,16,2,14
127723.nif,126,17,2,15
127759.nif,31,4,2,0
127759.nif,33,5,2,1
127759.nif,35,6,2,2
127759.nif,37,7,2,3
127759.nif,39,8,2,4
127759.nif,41,9,2,5
127759.nif,43,10,2,6
127759.nif,43,10,2,7
127759.nif,45,11,2,8
127759.nif,47,12,2,9
127759.nif,52,14,2,11
127759.nif,52,14,2,12
127759.nif,56,15,2,13
127759.nif,84,16,2,14
127759.nif,90,17,2,15
127759.nif,94,18,2,16
127759.nif,98,19,2,17
127759.nif,103,20,2,18
127759.nif,103,20,2,19
127759.nif,106,21,2,20
127759.nif,106,21,2,21
127759.nif,118,22,2,22
127759.nif,124,23,2,23
127759.nif,130,24,2,24
127759.nif,136,25,2,25
127759.nif,142,26,2,26
127797.nif,22,4,2,0
127797.nif,25,5,2,1
127797.nif,25,5,2,2
127797.nif,27,6,2,3
127797.nif,29,7,2,4
127797.nif,31,8,2,5
127797.nif,31,8,2,6
127797.nif,33,9,2,7
127797.nif,35,10,2,8
127797.nif,37,11,2,9
127797.nif,39,12,2,10
127797.nif,41,13,2,11
127797.nif,43,14,2,12
127797.nif,47,15,2,13
127797.nif,51,16,2,14
127797.nif,89,17,2,15
127856.nif,21,4,2,0
127856.nif,24,5,2,1
127856.nif,27,6,2,2
127856.nif,30,7,2,3
127856.nif,33,8,2,4
127856.nif,36,9,2,5
127856.nif,39,10,2,6
127856.nif,44,15,2,12
127856.nif,44,15,2,13
127856.nif,48,14,2,10
127856.nif,48,14,2,11
127856.nif,53,11,2,7
127856.nif,58,13,2,9
127856.nif,64,12,2,8
12788.nif,8,4,2,0
127908.nif,29,24,2,23
127908.nif,29,24,2,24
127908.nif,39,4,2,0
127908.nif,42,5,2,1
127908.nif,45,6,2,2
127908.nif,45,6,2,3
127908.nif,48,7,2,4
127908.nif,51,8,2,5
127908.nif,54,9,2,6
127908.nif,54,9,2,7
127908.nif,57,10,2,8
127908.nif,60,11,2,9
127908.nif,63,12,2,10
127908.nif,66,13,2,11
127908.nif,70,14,2,12
127908.nif,70,14,2,13
127908.nif,75,23,2,22
127908.nif,105,15,2,14
127908.nif,111,16,2,15
127908.nif,117,17,2,16
127908.nif,123,18,2,17
127908.nif,129,19,2,18
127908.nif,135,20,2,19
127908.nif,141,21,2,20
127908.nif,147,22,2,21
127957.nif,22,4,2,0
127957.nif,25,6,2,2
127957.nif,25,6,2,3
127957.nif,28,7,2,4
127957.nif,31,8,2,5
127957.nif,34,9,2,6
127957.nif,37,10,2,7
127957.nif,40,11,2,8
127957.nif,43,12,2,9
127957.nif,43,12,2,10
127957.nif,46,13,2,11
127957.nif,46,13,2,12
127957.nif,49,5,2,1
127957.nif,55,16,2,16
127957.nif,61,15,2,15
127957.nif,68,14,2,13
127957.nif,68,14,2,14
128078.nif,21,4,2,0
128078.nif,24,5,2,1
128078.nif,27,6,2,2
128078.nif,30,7,2,3
128078.nif,33,8,2,4
128078.nif,36,9,2,5
128078.nif,39,10,2,6
128078.nif,43,14,2,11
128078.nif,43,14,2,12
128078.nif,48,15,2,13
128078.nif,48,15,2,14
128078.nif,53,11,2,7
128078.nif,53,11,2,8
128078.nif,58,13,2,10
128078.nif,64,12,2,9
128145.nif,21,4,2,0
128145.nif,24,5,2,1
128145.nif,27,6,2,2
128145.nif,30,7,2,3
128145.nif,33,8,2,4
128145.nif,36,9,2,5
128145.nif,39,10,2,6
128145.nif,43,15,2,12
128145.nif,43,15,2,13
128145.nif,49,12,2,9
128145.nif,55,13,2,10
128145.nif,59,11,2,7
128145.nif,59,11,2,8
128145.nif,108,14,2,11
128752.nif,10,4,2,0
128752.nif,13,5,2,1
128762.nif,24,16,2,15
128762.nif,32,17,2,16
128762.nif,45,4,2,0
128762.nif,48,5,2,1
128762.nif,51,6,2,2
128762.nif,54,7,2,3
128762.nif,57,8,2,4
128762.nif,60,9,2,5
128762.nif,63,10,2,6
128762.nif,63,10,2,7
128762.nif,66,11,2,8
128762.nif,70,15,2,13
128762.nif,70,15,2,14
128762.nif,75,14,2,11
128762.nif,75,14,2,12
128762.nif,80,12,2,9
128762.nif,157,13,2,10
128816.nif,28,14,2,10
128816.nif,37,15,2,11
128816.nif,44,16,2,12
128816.nif,56,4,2,0
128816.nif,58,5,2,1
128816.nif,60,6,2,2
128816.nif,62,7,2,3
128816.nif,64,8,2,4
128816.nif,66,9,2,5
128816.nif,68,10,2,6
128816.nif,70,11,2,7
128816.nif,76,12,2,8
128816.nif,79,13,2,9
128816.nif,116,17,2,13
128816.nif,122,18,2,14
128816.nif,128,19,2,15
128816.nif,134,20,2,16
128816.nif,140,21,2,17
128816.nif,146,22,2,18
128849.nif,30,18,2,17
128849.nif,34,19,2,18
128849.nif,41,20,2,19
128849.nif,46,21,2,20
128849.nif,46,21,2,21
128849.nif,49,22,2,22
128849.nif,53,23,2,23
128849.nif,63,24,2,24
128849.nif,74,4,2,0
128849.nif,78,5,2,1
128849.nif,83,6,2,2
128849.nif,83,6,2,3
128849.nif,85,7,2,4
128849.nif,85,7,2,5
128849.nif,87,8,2,6
128849.nif,89,9,2,7
128849.nif,91,10,2,8
128849.nif,93,11,2,9
128849.nif,95,12,2,10
128849.nif,98,13,2,11
128849.nif,98,13,2,12
128849.nif,103,15,2,14
128849.nif,107,16,2,15
128849.nif,112,17,2,16
128849.nif,195,25,2,25
128849.nif,201,26,2,26
128877.nif,25,19,2,16
128877.nif,37,4,2,0
128877.nif,40,5,2,1
128877.nif,43,6,2,2
128877.nif,46,7,2,3
128877.nif,49,8,2,4
128877.nif,52,9,2,5
128877.nif,55,10,2,6
128877.nif,58,11,2,7
128877.nif,61,12,2,8
128877.nif,64,13,2,9
128877.nif,69,14,2,10
128877.nif,74,15,2,11
128877.nif,80,16,2,12
128877.nif,84,17,2,13
128877.nif,84,17,2,14
128877.nif,218,20,2,17
128877.nif,224,21,2,18
128915.nif,10,4,2,0
128915.nif,13,5,2,1
128932.nif,10,4,2,0
128932.nif,13,5,2,1
128949.nif,10,4,2,0
128949.nif,13,5,2,1
128966.nif,10,4,2,0
128966.nif,13,5,2,1
128983.nif,10,4,2,0
128983.nif,13,5,2,1
129001.nif,10,4,2,0
129001.nif,13,5,2,1
129020.nif,13,4,2,0
129020.nif,16,5,2,1
129020.nif,19,6,2,2
129020.nif,22,7,2,3
129020.nif,25,8,2,4
129043.nif,13,4,2,0
129043.nif,16,5,2,1
129043.nif,19,6,2,2
129043.nif,22,7,2,3
129043.nif,25,8,2,4
129063.nif,13,4,2,0
129063.nif,16,5,2,1
129063.nif,19,6,2,2
129063.nif,22,7,2,3
129063.nif,25,8,2,4
129085.nif,12,4,2,0
129085.nif,15,5,2,1
129085.nif,18,6,2,2
129085.nif,21,7,2,3
129104.nif,12,4,2,0
129104.nif,15,5,2,1
129104.nif,18,6,2,2
129104.nif,21,7,2,3
129123.nif,13,4,2,0
129123.nif,16,5,2,1
129123.nif,19,6,2,2
129123.nif,22,7,2,3
129123.nif,25,8,2,4
129143.nif,13,4,2,0
129143.nif,16,5,2,1
129143.nif,19,6,2,2
129143.nif,22,7,2,3
129143.nif,25,8,2,4
129184.nif,16,4,2,0
129184.nif,19,5,2,1
129184.nif,22,6,2,2
129184.nif,25,7,2,3
129184.nif,28,8,2,4
129184.nif,31,9,2,5
129184.nif,34,10,2,6
129184.nif,38,11,2,7
129184.nif,38,11,2,8
129210.nif,14,4,2,0
129210.nif,17,5,2,1
129210.nif,20,6,2,2
129210.nif,23,7,2,3
129210.nif,26,8,2,4
129210.nif,30,9,2,5
129210.nif,30,9,2,6
129232.nif,14,10,2,6
129232.nif,14,10,2,7
129232.nif,19,4,2,0
129232.nif,22,5,2,1
129232.nif,25,6,2,2
129232.nif,28,7,2,3
129232.nif,31,8,2,4
129232.nif,34,9,2,5
129256.nif,16,4,2,0
129256.nif,19,5,2,1
129256.nif,22,6,2,2
129256.nif,25,7,2,3
129256.nif,28,8,2,4
129256.nif,31,9,2,5
129256.nif,34,10,2,6
129256.nif,38,11,2,7
129256.nif,38,11,2,8
129281.nif,22,4,2,0
129281.nif,25,5,2,1
129281.nif,28,6,2,2
129281.nif,31,7,2,3
129281.nif,34,8,2,4
129281.nif,37,9,2,5
129281.nif,40,10,2,6
129281.nif,45,13,2,9
129281.nif,45,13,2,10
129281.nif,50,14,2,11
129281.nif,56,12,2,8
129281.nif,61,11,2,7
129281.nif,79,15,2,12
129281.nif,85,16,2,13
129311.nif,18,4,2,0
129311.nif,21,5,2,1
129311.nif,24,6,2,2
129311.nif,27,7,2,3
129311.nif,30,8,2,4
129311.nif,33,9,2,5
129311.nif,37,10,2,6
129311.nif,37,10,2,7
129311.nif,43,12,2,9
129311.nif,49,13,2,10
129338.nif,21,4,2,0
129338.nif,24,6,2,2
129338.nif,27,7,2,3
129338.nif,30,8,2,4
129338.nif,30,8,2,5
129338.nif,33,9,2,6
129338.nif,36,10,2,7
129338.nif,39,11,2,8
129338.nif,42,12,2,9
129338.nif,42,12,2,10
129338.nif,45,13,2,11
129338.nif,48,14,2,12
129338.nif,51,5,2,1
129338.nif,55,16,2,14
129338.nif,55,16,2,15
129375.nif,17,9,2,6
129375.nif,20,10,2,7
129375.nif,23,11,2,8
129375.nif,26,12,2,9
129375.nif,30,7,2,3
129375.nif,30,7,2,4
129375.nif,35,8,2,5
129375.nif,42,4,2,0
129375.nif,45,5,2,1
129375.nif,54,6,2,2
1294.nif,12,4,3,0
129408.nif,22,4,2,0
129408.nif,25,5,2,1
129408.nif,28,6,2,2
129408.nif,31,7,2,3
129408.nif,34,8,2,4
129408.nif,37,9,2,5
129408.nif,40,10,2,6
129408.nif,43,11,2,7
129408.nif,46,12,2,8
129408.nif,51,16,2,12
129408.nif,51,16,2,13
129408.nif,54,17,2,14
129408.nif,54,17,2,15
129408.nif,59,14,2,10
129408.nif,64,13,2,9
129408.nif,74,15,2,11
130077.nif,38,33,32,0
130198.nif,13,4,3,0
130198.nif,20,5,3,1
130553.nif,13,4,3,0
130553.nif,20,5,3,1
130582.nif,13,4,3,0
130582.nif,20,5,3,1
130637.nif,13,4,3,0
130637.nif,20,5,3,1
130659.nif,13,4,3,0
130659.nif,20,5,3,1
130681.nif,13,4,3,0
130681.nif,20,5,3,1
130702.nif,12,4,3,0
130750.nif,12,4,3,0
130801.nif,12,4,3,0
130850.nif,12,4,3,0
130867.nif,12,4,3,0
131116.nif,30,26,2,24
131116.nif,30,26,2,25
131116.nif,43,4,2,0
131116.nif,46,8,2,4
131116.nif,46,8,2,5
131116.nif,49,9,2,6
131116.nif,52,10,2,7
131116.nif,55,11,2,8
131116.nif,58,12,2,9
131116.nif,61,13,2,10
131116.nif,64,14,2,11
131116.nif,67,15,2,12
131116.nif,70,16,2,13
131116.nif,73,5,2,1
131116.nif,77,6,2,2
131116.nif,80,7,2,3
131116.nif,89,24,2,22
131116.nif,94,25,2,23
131116.nif,99,23,2,20
131116.nif,99,23,2,21
131116.nif,120,22,2,19
131116.nif,126,17,2,14
131116.nif,132,18,2,15
131116.nif,138,19,2,16
131116.nif,144,20,2,17
131116.nif,150,21,2,18
131221.nif,13,4,3,0
131221.nif,20,5,3,1
131242.nif,13,4,3,0
131242.nif,20,5,3,1
131263.nif,12,4,3,0
131380.nif,10,6,2,3
131380.nif,14,5,2,1
131380.nif,14,5,2,2
131380.nif,18,4,2,0
131436.nif,15,4,2,0
131436.nif,19,11,2,7
131436.nif,19,11,2,8
131436.nif,23,10,2,6
131436.nif,28,5,2,1
131436.nif,33,6,2,2
131436.nif,38,7,2,3
131436.nif,43,8,2,4
131436.nif,48,9,2,5
131463.nif,20,15,2,11
131463.nif,29,14,2,10
131463.nif,35,13,2,9
131463.nif,40,16,2,12
131463.nif,46,4,2,0
131463.nif,52,5,2,1
131463.nif,55,6,2,2
131463.nif,58,7,2,3
131463.nif,61,8,2,4
131463.nif,64,9,2,5
131463.nif,67,10,2,6
131463.nif,70,11,2,7
131463.nif,73,12,2,8
131495.nif,19,14,2,10
131495.nif,28,4,2,0
131495.nif,31,5,2,1
131495.nif,34,6,2,2
131495.nif,37,7,2,3
131495.nif,40,8,2,4
131495.nif,43,9,2,5
131495.nif,46,10,2,6
131495.nif,49,11,2,7
131495.nif,55,12,2,8
131495.nif,61,13,2,9
131495.nif,65,15,2,11
131525.nif,20,14,2,10
131525.nif,29,15,2,11
131525.nif,35,4,2,0
131525.nif,38,5,2,1
131525.nif,41,6,2,2
131525.nif,44,7,2,3
131525.nif,47,8,2,4
131525.nif,50,9,2,5
131525.nif,53,10,2,6
131525.nif,56,11,2,7
131525.nif,62,12,2,8
131525.nif,67,16,2,12
131525.nif,73,13,2,9
131556.nif,20,14,2,10
131556.nif,29,4,2,0
131556.nif,32,5,2,1
131556.nif,35,6,2,2
131556.nif,38,7,2,3
131556.nif,41,8,2,4
131556.nif,44,9,2,5
131556.nif,47,10,2,6
131556.nif,50,11,2,7
131556.nif,56,12,2,8
131556.nif,61,15,2,11
131556.nif,67,13,2,9
131556.nif,72,16,2,12
131586.nif,19,14,2,10
131586.nif,28,4,2,0
131586.nif,31,5,2,1
131586.nif,34,6,2,2
131586.nif,37,7,2,3
131586.nif,40,8,2,4
131586.nif,43,9,2,5
131586.nif,46,10,2,6
131586.nif,49,11,2,7
131586.nif,54,13,2,9
131586.nif,60,12,2,8
131586.nif,65,15,2,11
131623.nif,9,5,2,1
131623.nif,20,4,2,0
131653.nif,9,4,2,0
131653.nif,22,5,2,1
131670.nif,9,5,2,1
131670.nif,20,4,2,0
131688.nif,9,5,2,1
131688.nif,20,4,2,0
131705.nif,24,4,2,0
131705.nif,27,5,2,1
131705.nif,27,5,2,2
131705.nif,30,6,2,3
131705.nif,33,7,2,4
131705.nif,36,8,2,5
131705.nif,39,9,2,6
131705.nif,39,9,2,7
131705.nif,42,10,2,8
131705.nif,45,11,2,9
131705.nif,49,12,2,10
131705.nif,53,13,2,11
131705.nif,58,19,2,18
131705.nif,64,18,2,16
131705.nif,64,18,2,17
131705.nif,81,17,2,15
131705.nif,87,14,2,12
131705.nif,93,15,2,13
131705.nif,99,16,2,14
131729.nif,27,23,2,22
131729.nif,27,23,2,23
131729.nif,40,4,2,0
131729.nif,43,5,2,1
131729.nif,43,5,2,2
131729.nif,46,6,2,3
131729.nif,46,6,2,4
131729.nif,49,7,2,5
131729.nif,52,8,2,6
131729.nif,55,9,2,7
131729.nif,58,10,2,8
131729.nif,61,11,2,9
131729.nif,64,12,2,10
131729.nif,67,13,2,11
131729.nif,71,16,2,15
131729.nif,77,22,2,21
131729.nif,82,15,2,14
131729.nif,87,14,2,12
131729.nif,87,14,2,13
131729.nif,111,17,2,16
131729.nif,116,18,2,17
131729.nif,122,20,2,19
131729.nif,128,19,2,18
131729.nif,134,21,2,20
131834.nif,12,4,3,0
131879.nif,12,4,3,0
131895.nif,12,4,3,0
131911.nif,12,4,3,0
131929.nif,12,4,3,0
131945.nif,12,4,3,0
131960.nif,11,4,3,0
131979.nif,11,4,3,0
131995.nif,13,4,3,0
131995.nif,20,5,3,1
132012.nif,11,4,3,0
132061.nif,12,7,2,6
132061.nif,12,7,2,19
132061.nif,16,5,2,1
132061.nif,16,5,2,2
132061.nif,20,6,2,3
132061.nif,20,6,2,4
132061.nif,20,6,2,5
132148.nif,9,5,2,1
132148.nif,9,5,2,2
132148.nif,14,4,2,0
132168.nif,20,14,2,13
132168.nif,20,14,2,14
132168.nif,34,4,2,0
132168.nif,34,4,2,1
132168.nif,36,5,2,2
132168.nif,38,6,2,3
132168.nif,40,7,2,4
132168.nif,42,8,2,5
132168.nif,44,9,2,6
132168.nif,46,10,2,7
132168.nif,46,10,2,8
132168.nif,48,11,2,9
132168.nif,50,12,2,10
132168.nif,55,13,2,11
132168.nif,55,13,2,12
132199.nif,20,14,2,10
132199.nif,29,13,2,9
132199.nif,35,12,2,8
132199.nif,40,16,2,12
132199.nif,46,15,2,11
132199.nif,52,4,2,0
132199.nif,55,5,2,1
132199.nif,58,6,2,2
132199.nif,61,7,2,3
132199.nif,64,8,2,4
132199.nif,67,9,2,5
132199.nif,70,10,2,6
132199.nif,73,11,2,7
132228.nif,19,14,2,10
132228.nif,28,4,2,0
132228.nif,31,5,2,1
132228.nif,34,6,2,2
132228.nif,37,7,2,3
132228.nif,40,8,2,4
132228.nif,43,9,2,5
132228.nif,46,10,2,6
132228.nif,49,11,2,7
132228.nif,55,12,2,8
132228.nif,61,13,2,9
132228.nif,65,15,2,11
132255.nif,19,15,2,15
132255.nif,19,15,2,16
132255.nif,30,4,2,0
132255.nif,37,5,2,1
132255.nif,40,6,2,2
132255.nif,43,7,2,3
132255.nif,43,7,2,4
132255.nif,45,8,2,5
132255.nif,47,9,2,6
132255.nif,47,9,2,7
132255.nif,49,10,2,8
132255.nif,51,11,2,9
132255.nif,53,12,2,10
132255.nif,53,12,2,11
132255.nif,55,13,2,12
132255.nif,57,14,2,13
132255.nif,57,14,2,14
132275.nif,45,4,2,0
132275.nif,47,5,2,1
132275.nif,49,6,2,2
132275.nif,49,6,2,3
132275.nif,51,7,2,4
132275.nif,55,8,2,5
132275.nif,57,9,2,6
132275.nif,59,10,2,7
132275.nif,59,10,2,8
132275.nif,61,11,2,9
132275.nif,65,12,2,10
132275.nif,67,13,2,11
132275.nif,69,14,2,12
132275.nif,69,14,2,13
132275.nif,71,15,2,14
132275.nif,75,16,2,15
132275.nif,77,17,2,16
132275.nif,79,18,2,17
132275.nif,79,18,2,18
132275.nif,81,19,2,19
132275.nif,84,20,2,20
132275.nif,84,20,2,21
132275.nif,99,21,2,22
132275.nif,99,21,2,23
132275.nif,105,22,2,24
132275.nif,105,22,2,25
132275.nif,107,23,2,26
132275.nif,109,24,2,27
132275.nif,111,25,2,28
132275.nif,113,26,2,29
132275.nif,115,27,2,30
132275.nif,117,28,2,31
132275.nif,119,29,2,32
132275.nif,123,30,2,33
132275.nif,123,30,2,34
132275.nif,125,31,2,35
132275.nif,127,32,2,36
132275.nif,129,33,2,37
132275.nif,131,34,2,38
132275.nif,133,35,2,39
132275.nif,135,36,2,40
132275.nif,137,37,2,41
132275.nif,140,38,2,42
132275.nif,148,39,2,43
132275.nif,154,40,2,44
132428.nif,42,30,2,31
132428.nif,42,30,2,32
132428.nif,56,4,2,0
132428.nif,56,4,2,1
132428.nif,58,5,2,2
132428.nif,60,6,2,3
132428.nif,62,7,2,4
132428.nif,64,8,2,5
132428.nif,66,9,2,6
132428.nif,68,10,2,7
132428.nif,70,11,2,8
132428.nif,72,12,2,9
132428.nif,74,13,2,10
132428.nif,74,13,2,11
132428.nif,76,14,2,12
132428.nif,78,15,2,13
132428.nif,80,16,2,14
132428.nif,82,17,2,15
132428.nif,82,17,2,16
132428.nif,84,18,2,17
132428.nif,86,19,2,18
132428.nif,88,20,2,19
132428.nif,90,21,2,20
132428.nif,93,22,2,21
132428.nif,95,23,2,22
132428.nif,97,24,2,23
132428.nif,101,25,2,24
132428.nif,101,25,2,25
132428.nif,108,26,2,26
132428.nif,115,27,2,27
132428.nif,121,28,2,28
132428.nif,121,28,2,29
132428.nif,125,29,2,30
132428.nif,166,31,2,33
132428.nif,171,32,2,34
132428.nif,176,33,2,35
132428.nif,181,34,2,36
132428.nif,186,35,2,37
132428.nif,191,36,2,38
132518.nif,21,4,2,0
132518.nif,24,6,2,2
132518.nif,24,6,2,3
132518.nif,27,7,2,4
132518.nif,30,8,2,5
132518.nif,30,8,2,6
132518.nif,33,9,2,7
132518.nif,36,10,2,8
132518.nif,39,11,2,9
132518.nif,42,12,2,10
132518.nif,45,13,2,11
132518.nif,48,5,2,1
132518.nif,52,16,2,14
132518.nif,56,15,2,13
132518.nif,64,14,2,12
132551.nif,32,27,2,26
132551.nif,40,26,2,25
132551.nif,54,4,2,0
132551.nif,57,8,2,4
132551.nif,60,9,2,5
