nif,parent_ninode_block,texture_effect_block,kind
217362.nif,30,5,NINODE_EFFECTS
218524.nif,4,12,NINODE_EFFECTS
218524.nif,68,12,NINODE_EFFECTS
218524.nif,71,12,NINODE_EFFECTS
223622.nif,9,5,NINODE_EFFECTS
223650.nif,9,4,NINODE_EFFECTS
225492.nif,50,21,NINODE_EFFECTS
225492.nif,93,20,NINODE_EFFECTS
225492.nif,96,19,NINODE_EFFECTS
225492.nif,114,18,NINODE_EFFECTS
225492.nif,117,17,NINODE_EFFECTS
225492.nif,126,16,NINODE_EFFECTS
227334.nif,27,8,NINODE_EFFECTS
238039.nif,68,61,NINODE_EFFECTS
238529.nif,5,9,NINODE_EFFECTS
238529.nif,33,37,NINODE_EFFECTS
238529.nif,38,51,NINODE_EFFECTS
238529.nif,63,67,NINODE_EFFECTS
238529.nif,68,72,NINODE_EFFECTS
238529.nif,73,77,NINODE_EFFECTS
238529.nif,78,82,NINODE_EFFECTS
239252.nif,9,4,NINODE_EFFECTS
252919.nif,4,18,NINODE_EFFECTS
265890.nif,4,9,NINODE_EFFECTS
265890.nif,38,34,NINODE_EFFECTS
265890.nif,43,33,NINODE_EFFECTS
269591.nif,81,18,NINODE_EFFECTS
269591.nif,86,17,NINODE_EFFECTS
277737.nif,14,7,NINODE_EFFECTS
277737.nif,24,8,NINODE_EFFECTS
277804.nif,47,32,NINODE_EFFECTS
277804.nif,61,32,NINODE_EFFECTS
278453.nif,52,11,NINODE_EFFECTS
278534.nif,94,13,NINODE_EFFECTS
280677.nif,18,4,NINODE_EFFECTS
280687.nif,11,5,NINODE_EFFECTS
280687.nif,15,4,NINODE_EFFECTS
281718.nif,8,5,NINODE_EFFECTS
283475.nif,21,5,NINODE_EFFECTS
283475.nif,24,5,NINODE_EFFECTS
283475.nif,34,5,NINODE_EFFECTS
284176.nif,18,7,NINODE_EFFECTS
284176.nif,32,7,NINODE_EFFECTS
285842.nif,25,12,NINODE_EFFECTS
296445.nif,59,13,NINODE_EFFECTS
298024.nif,8,4,NINODE_EFFECTS
300297.nif,39,17,NINODE_EFFECTS
300297.nif,93,17,NINODE_EFFECTS
300297.nif,97,17,NINODE_EFFECTS
305850.nif,8,4,NINODE_EFFECTS
305851.nif,8,4,NINODE_EFFECTS
305858.nif,8,4,NINODE_EFFECTS
30906.nif,105,100,NINODE_EFFECTS
30906.nif,115,99,NINODE_EFFECTS
30906.nif,125,98,NINODE_EFFECTS
318839.nif,40,30,NINODE_EFFECTS
320006.nif,45,35,NINODE_EFFECTS
320786.nif,51,13,NINODE_EFFECTS
321381.nif,18,8,NINODE_EFFECTS
321381.nif,25,9,NINODE_EFFECTS
321603.nif,12,4,NINODE_EFFECTS
322612.nif,169,98,NINODE_EFFECTS
330550.nif,76,53,NINODE_EFFECTS
33251.nif,103,31,NINODE_EFFECTS
33251.nif,251,31,NINODE_EFFECTS
332924.nif,35,6,NINODE_EFFECTS
333342.nif,30,7,NINODE_EFFECTS
333977.nif,15,4,NINODE_EFFECTS
334011.nif,12,4,NINODE_EFFECTS
335472.nif,83,64,NINODE_EFFECTS
335472.nif,134,64,NINODE_EFFECTS
336702.nif,4,12,NINODE_EFFECTS
336702.nif,13,22,NINODE_EFFECTS
336745.nif,18,8,NINODE_EFFECTS
337425.nif,4,13,NINODE_EFFECTS
339273.nif,134,29,NINODE_EFFECTS
339919.nif,20,10,NINODE_EFFECTS
339919.nif,24,9,NINODE_EFFECTS
339919.nif,28,8,NINODE_EFFECTS
344999.nif,48,34,NINODE_EFFECTS
344999.nif,51,33,NINODE_EFFECTS
344999.nif,83,43,NINODE_EFFECTS
344999.nif,86,42,NINODE_EFFECTS
344999.nif,89,41,NINODE_EFFECTS
344999.nif,111,40,NINODE_EFFECTS
344999.nif,114,39,NINODE_EFFECTS
344999.nif,125,38,NINODE_EFFECTS
344999.nif,139,37,NINODE_EFFECTS
344999.nif,146,36,NINODE_EFFECTS
344999.nif,179,35,NINODE_EFFECTS
344999.nif,201,32,NINODE_EFFECTS
345217.nif,10,6,NINODE_EFFECTS
345583.nif,51,38,NINODE_EFFECTS
346639.nif,36,6,NINODE_EFFECTS
346639.nif,40,6,NINODE_EFFECTS
346639.nif,54,5,NINODE_EFFECTS
347129.nif,18,11,NINODE_EFFECTS
347265.nif,15,4,NINODE_EFFECTS
347386.nif,55,21,NINODE_EFFECTS
347386.nif,58,21,NINODE_EFFECTS
347386.nif,91,21,NINODE_EFFECTS
347386.nif,94,21,NINODE_EFFECTS
347386.nif,97,21,NINODE_EFFECTS
347386.nif,122,21,NINODE_EFFECTS
347386.nif,125,21,NINODE_EFFECTS
347386.nif,136,21,NINODE_EFFECTS
347386.nif,152,21,NINODE_EFFECTS
347386.nif,159,21,NINODE_EFFECTS
347486.nif,44,11,NINODE_EFFECTS
347486.nif,73,10,NINODE_EFFECTS
350319.nif,51,38,NINODE_EFFECTS
353595.nif,84,24,NINODE_EFFECTS
353595.nif,88,24,NINODE_EFFECTS
353595.nif,92,24,NINODE_EFFECTS
353832.nif,16,9,NINODE_EFFECTS
353832.nif,43,9,NINODE_EFFECTS
353833.nif,16,10,NINODE_EFFECTS
353833.nif,43,10,NINODE_EFFECTS
353834.nif,16,9,NINODE_EFFECTS
353834.nif,43,9,NINODE_EFFECTS
353835.nif,16,9,NINODE_EFFECTS
353835.nif,43,9,NINODE_EFFECTS
355273.nif,19,11,NINODE_EFFECTS
355273.nif,19,12,NINODE_EFFECTS
355273.nif,29,10,NINODE_EFFECTS
355274.nif,19,11,NINODE_EFFECTS
355274.nif,19,12,NINODE_EFFECTS
355274.nif,29,10,NINODE_EFFECTS
355275.nif,26,4,NINODE_EFFECTS
355277.nif,21,7,NINODE_EFFECTS
355278.nif,25,8,NINODE_EFFECTS
355485.nif,23,8,NINODE_EFFECTS
355490.nif,27,20,NINODE_EFFECTS
355490.nif,31,20,NINODE_EFFECTS
355490.nif,35,20,NINODE_EFFECTS
355490.nif,39,20,NINODE_EFFECTS
355494.nif,33,10,NINODE_EFFECTS
355495.nif,13,8,NINODE_EFFECTS
355497.nif,20,7,NINODE_EFFECTS
355498.nif,64,20,NINODE_EFFECTS
355499.nif,38,13,NINODE_EFFECTS
355500.nif,42,11,NINODE_EFFECTS
355501.nif,17,6,NINODE_EFFECTS
355502.nif,20,7,NINODE_EFFECTS
355503.nif,95,31,NINODE_EFFECTS
355505.nif,40,12,NINODE_EFFECTS
355506.nif,26,9,NINODE_EFFECTS
355507.nif,57,14,NINODE_EFFECTS
356327.nif,56,13,NINODE_EFFECTS
356327.nif,93,11,NINODE_EFFECTS
356327.nif,93,12,NINODE_EFFECTS
356327.nif,139,10,NINODE_EFFECTS
356327.nif,143,9,NINODE_EFFECTS
377176.nif,4,18,NINODE_EFFECTS
381073.nif,12,5,NINODE_EFFECTS
381073.nif,25,4,NINODE_EFFECTS
382925.nif,30,4,NINODE_EFFECTS
382946.nif,40,5,NINODE_EFFECTS
382946.nif,47,5,NINODE_EFFECTS
383675.nif,54,29,NINODE_EFFECTS
383962.nif,32,5,NINODE_EFFECTS
383962.nif,40,5,NINODE_EFFECTS
383962.nif,112,5,NINODE_EFFECTS
384738.nif,43,6,NINODE_EFFECTS
