file,ext_len,subclass43,ext_hex,mesh,morph,skin,particle,blocks,mirror
518352.nif,85,,03000000010000404002000000ba2cc63ea2eeaf3fa3c11ec2000000000000000035fa8ebee72b9943c3b8323f02000000ba2cc63ea2eeaf3fa3c11ec2000000000000000035fa8ebee72b9943c3b8323f02000000,1,0,0,0,31,1
518811.nif,85,,03000000010000404002000000c2ddb9c05d5ca641105817c29430b73ef9de8fbe63d94a3f31d8a743c3b8323f02000000c2ddb9c05d5ca641105817c29430b73ef9de8fbe63d94a3f31d8a743c3b8323f02000000,1,0,0,0,40,1
516721.nif,85,,030000000100004040020000008786793fa88c594021e4fcbd0998c43f0000000035fa8ebe2f4d6944c3b8323f030000008786793fa88c594021e4fcbd0998c43f0000000035fa8ebe2f4d6944c3b8323f03000000,1,0,0,0,12,1
516728.nif,85,,030000000100004040020000003faa613f0abf4440f6b7e4bd0998c43f0000000035fa8ebe8155f443c3b8323f020000003faa613f0abf4440f6b7e4bd0998c43f0000000035fa8ebe8155f443c3b8323f02000000,1,0,0,0,12,1
516733.nif,85,,030000000100004040020000003faa613f0abf4440f6b7e4bd0998c43f0000000035fa8ebe7b54ee43c3b8323f020000003faa613f0abf4440f6b7e4bd0998c43f0000000035fa8ebe7b54ee43c3b8323f02000000,1,0,0,0,12,1
516737.nif,85,,030000000100004040020000003faa613f0abf4440f6b7e4bd0998c43f0000000035fa8ebeeefce943c3b8323f020000003faa613f0abf4440f6b7e4bd0998c43f0000000035fa8ebeeefce943c3b8323f02000000,1,0,0,0,12,1
516744.nif,85,,030000000100004040020000006d1cf93f6a30d940f6797cbe0998c43f0000000035fa8ebefc993c44c3b8323f020000006d1cf93f6a30d940f6797cbe0998c43f0000000035fa8ebefc993c44c3b8323f02000000,1,0,0,0,12,1
516749.nif,85,,030000000100004040020000004087913fe8c17d40028013be0998c43f0000000035fa8ebe2ba7bb43c3b8323f020000004087913fe8c17d40028013be0998c43f0000000035fa8ebe2ba7bb43c3b8323f02000000,1,0,0,0,12,1
516525.nif,85,,030000000100004040020000005a0d4140b64a2c403a24193f0998c43f0000000035fa8ebe73e87843c3b8323f010000005a0d4140b64a2c403a24193f0998c43f0000000035fa8ebe73e87843c3b8323f01000000,1,0,0,0,12,1
516528.nif,85,,030000000100004040020000001daa613f0abf4440e9b6e4bd0998c43f0000000035fa8ebe89015b43c3b8323f010000001daa613f0abf4440e9b6e4bd0998c43f0000000035fa8ebe89015b43c3b8323f01000000,1,0,0,0,12,1
516529.nif,85,,030000000100004040020000001daa613f0abf4440e9b6e4bd0998c43f0000000035fa8ebecba14843c3b8323f010000001daa613f0abf4440e9b6e4bd0998c43f0000000035fa8ebecba14843c3b8323f01000000,1,0,0,0,12,1
516530.nif,85,,030000000100004040020000008b1a8c3f04ad7c400bb526be0998c43f0000000035fa8ebe79013944c3b8323f020000008b1a8c3f04ad7c400bb526be0998c43f0000000035fa8ebe79013944c3b8323f02000000,1,0,0,0,12,1
516537.nif,85,,03000000010000404002000000fc3872bfa5837940fa7f39bf0998c43f0000000035fa8ebe62f81544c3b8323f02000000fc3872bfa5837940fa7f39bf0998c43f0000000035fa8ebe62f81544c3b8323f02000000,1,0,0,0,12,1
516538.nif,85,,030000000100004040020000007bbc743fc45f5540310cf8bd0998c43f0000000035fa8ebe27394244c3b8323f020000007bbc743fc45f5540310cf8bd0998c43f0000000035fa8ebe27394244c3b8323f02000000,1,0,0,0,12,1
516539.nif,85,,030000000100004040020000003a238e3ff06d7c40ec8512be0998c43f0000000035fa8ebecda45644c3b8323f030000003a238e3ff06d7c40ec8512be0998c43f0000000035fa8ebecda45644c3b8323f03000000,1,0,0,0,12,1
516104.nif,85,,030000000100004040020000002575ce3f0dc385400d3720be0998c43f000000002a8dbcbe04268243c3b8323f020000002575ce3f0dc385400d3720be0998c43f000000002a8dbcbe04268243c3b8323f02000000,1,0,0,0,13,1
516108.nif,85,,030000000100004040020000000000000006000036bd6f6cc00998c43f000000004a82b4bedb197043c3b8323f020000000000000006000036bd6f6cc00998c43f000000004a82b4bedb197043c3b8323f02000000,1,0,0,0,12,1
516112.nif,85,,030000000100004040020000005053df3f41659940126a36be0998c43f00000000c3b8b2bea2bd0244c3b8323f020000005053df3f41659940126a36be0998c43f00000000c3b8b2bea2bd0244c3b8323f02000000,1,0,0,0,12,1
516113.nif,85,,0300000001000040400200000000000000060080b693188cc00998c43f00000000cd7cc5bedf0fd643c3b8323f0100000000000000060080b693188cc00998c43f00000000cd7cc5bedf0fd643c3b8323f01000000,1,0,0,0,12,1
516114.nif,85,,0300000001000040400200000000000000376c6940f86b02be0998c43f000000005346c7be4c3f0944c3b8323f0200000000000000376c6940f86b02be0998c43f000000005346c7be4c3f0944c3b8323f02000000,1,0,0,0,12,1
