file,flag_state,nif_version,exporter,mesh,morph,skin,blocks,geom_triangles,entry_count,mirror
418230.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,27,126,12,1
418245.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,32,154,14,1
52422.nif,000000,4.1.0.12,4.1.0.12,1,0,0,197,1892,43,1
52513.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,114,1070,34,1
52517.nif,000000,4.1.0.12,4.1.0.12,1,0,0,31,110,4,1
59275.nif,000000,4.1.0.12,4.1.0.12,1,0,0,60,250,10,1
52555.nif,000000,4.0.0.2,4.0.0.2,1,0,0,37,503,0,1
64553.nif,000000,4.1.0.12,4.0.0.2,1,0,0,11,52,1,1
64467.nif,000000,4.1.0.12,4.1.0.12,1,0,0,77,881,13,1
64531.nif,000000,4.1.0.12,4.0.0.2,1,0,0,39,58,9,1
64501.nif,000000,4.1.0.12,4.0.0.2,1,0,0,21,42,3,1
64512.nif,000000,4.1.0.12,4.0.0.2,1,0,0,74,707,10,1
64495.nif,000000,4.1.0.12,4.0.0.2,1,0,0,11,236,1,1
347386.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,196,2554,49,1
191487.nif,000000,4.1.0.12,4.1.0.12,1,0,0,21,180,2,1
191462.nif,000000,4.1.0.12,4.1.0.12,1,0,0,22,32,5,1
193362.nif,000000,4.1.0.12,4.1.0.12,1,0,1,45,156,1,1
192148.nif,000000,4.1.0.12,4.1.0.12,1,0,0,109,1540,18,1
192235.nif,000000,4.1.0.12,4.1.0.12,1,0,0,91,802,18,1
168082.nif,000000,4.1.0.12,4.1.0.12,1,0,0,95,1659,19,1
168133.nif,000000,4.1.0.12,4.1.0.12,1,0,0,36,267,7,1
168157.nif,000000,4.1.0.12,4.1.0.12,1,0,0,36,212,7,1
40350.nif,000000,4.1.0.12,4.1.0.12,1,0,0,190,1477,35,1
191644.nif,000000,4.1.0.12,4.1.0.12,1,0,0,23,162,5,1
191557.nif,000000,4.1.0.12,4.1.0.12,1,0,0,23,162,5,1
47949.nif,000000,4.1.0.12,4.1.0.12,1,0,0,21,162,5,1
191623.nif,000000,4.1.0.12,4.1.0.12,1,0,0,23,162,5,1
345217.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,27,164,6,1
191703.nif,000000,4.1.0.12,4.1.0.12,1,0,0,23,162,5,1
209928.nif,000000,4.1.0.12,4.1.0.12,1,0,0,109,598,18,1
