type_name,baseline_fields_for_10_1,observed_in_entropia
NiPSSimulatorGeneralStep,5,NO
NiPSSimulatorMeshAlignStep,3,NO
NiPSSphereEmitter,22,NO
NiPSSphericalCollider,7,NO
NiPSysAirFieldAirFrictionCtlr,9,NO
NiPSysAirFieldInheritVelocityCtlr,9,NO
NiPSysAirFieldModifier,16,NO
NiPSysAirFieldSpreadCtlr,9,NO
NiPSysBombModifier,10,NO
NiPSysCollider,7,NO
NiPSysCylinderEmitter,17,NO
NiPSysDragFieldModifier,11,NO
NiPSysEmitter,14,NO
NiPSysEmitterDeclinationCtlr,9,NO
NiPSysEmitterDeclinationVarCtlr,9,NO
NiPSysEmitterInitialRadiusCtlr,9,NO
NiPSysEmitterLifeSpanCtlr,9,NO
NiPSysEmitterPlanarAngleCtlr,9,NO
NiPSysEmitterPlanarAngleVarCtlr,9,NO
NiPSysEmitterSpeedCtlr,9,NO
NiPSysFieldAttenuationCtlr,9,NO
NiPSysFieldMagnitudeCtlr,9,NO
NiPSysFieldMaxDistanceCtlr,9,NO
NiPSysFieldModifier,9,NO
NiPSysGravityFieldModifier,10,NO
NiPSysGravityStrengthCtlr,9,NO
NiPSysInitialRotAngleCtlr,9,NO
NiPSysInitialRotAngleVarCtlr,9,NO
NiPSysInitialRotSpeedCtlr,9,NO
NiPSysInitialRotSpeedVarCtlr,9,NO
NiPSysModifier,4,NO
NiPSysModifierBoolCtlr,8,NO
NiPSysModifierCtlr,8,NO
NiPSysModifierFloatCtlr,9,NO
NiPSysRadialFieldModifier,10,NO
NiPSysSphericalCollider,8,NO
NiPSysTrailEmitter,25,NO
NiPSysTurbulenceFieldModifier,10,NO
NiPSysVolumeEmitter,15,NO
NiPSysVortexFieldModifier,10,NO
NiPalette,3,NO
NiParticleBomb,10,NO
NiParticleColorModifier,3,NO
NiParticleGrowFade,4,NO
NiParticleMeshModifier,4,NO
NiParticleMeshes,16,NO
NiParticleMeshesData,27,NO
NiParticleModifier,2,NO
NiParticleRotation,5,NO
NiParticleSystemController,37,NO
NiParticles,16,NO
NiParticlesData,26,NO
NiPathController,14,NO
NiPathInterpolator,7,NO
NiPersistentSrcTextureRendererData,18,NO
NiPhysXActorDesc,15,NO
NiPhysXBodyDesc,0,NO
NiPhysXD6JointDesc,0,NO
NiPhysXKinematicSrc,0,NO
NiPhysXMaterialDesc,3,NO
NiPhysXMeshDesc,17,NO
NiPhysXProp,11,NO
NiPhysXPropDesc,8,NO
NiPhysXShapeDesc,16,NO
NiPhysXTransformDest,3,NO
NiPlanarCollider,19,NO
NiPoint3InterpController,9,NO
NiPoint3Interpolator,2,NO
NiPortal,16,NO
NiProperty,4,NO
NiRangeLODData,3,NO
NiRawImageData,5,NO
NiRenderObject,15,NO
NiRollController,8,NO
NiRoom,23,NO
NiRoomGroup,18,NO
NiRotatingParticles,16,NO
NiRotatingParticlesData,26,NO
NiScreenElements,16,NO
NiScreenElementsData,33,NO
NiScreenLODData,6,NO
NiSequence,5,NO
NiSequenceStreamHelper,4,NO
NiShadowGenerator,12,NO
NiSingleInterpController,7,NO
NiSkinningLODController,7,NO
NiSkinningMeshModifier,11,NO
NiSourceCubeMap,13,NO
NiSphericalCollider,8,NO
NiStringPalette,1,NO
NiStringsExtraData,3,NO
NiSwitchNode,17,NO
NiTexture,4,NO
NiTextureModeProperty,7,NO
NiTextureProperty,6,NO
NiTimeController,7,NO
NiTransformController,8,NO
NiTransformData,7,NO
NiTransformInterpolator,4,NO
NiTransparentProperty,5,NO
NiTriBasedGeom,16,NO
NiTriBasedGeomData,19,NO
NiTriShapeSkinController,11,NO
NiTriStrips,16,NO
NiTriStripsData,23,NO
NiVectorExtraData,3,NO
NiVertWeightsExtraData,4,NO
NiWireframeProperty,5,NO
RootCollisionNode,15,NO
SkyShaderProperty,11,NO
TallGrassShaderProperty,9,NO
TileShaderProperty,10,NO
VolumetricFogShaderProperty,8,NO
WaterShaderProperty,8,NO
bhkAabbPhantom,3,NO
bhkBallAndSocketConstraint,4,NO
bhkBallSocketConstraintChain,11,NO
bhkBlendCollisionObject,5,NO
bhkBlendController,8,NO
bhkBoxShape,5,NO
bhkBreakableConstraint,6,NO
bhkCapsuleShape,7,NO
bhkCollisionObject,3,NO
bhkCompressedMeshShape,11,NO
bhkCompressedMeshShapeData,24,NO
bhkConstraint,3,NO
bhkConvexListShape,6,NO
bhkConvexShape,2,NO
bhkConvexTransformShape,5,NO
bhkConvexVerticesShape,7,NO
bhkEntity,2,NO
bhkHingeConstraint,4,NO
bhkLimitedHingeConstraint,4,NO
bhkLiquidAction,7,NO
bhkListShape,6,NO
bhkMalleableConstraint,6,NO
bhkMeshShape,4,NO
bhkMoppBvTreeShape,8,NO
bhkMultiSphereShape,6,NO
bhkNiCollisionObject,3,NO
bhkNiTriStripsShape,11,NO
bhkOrientHingedBodyAction,1,NO
bhkPCollisionObject,3,NO
bhkPackedNiTriStripsShape,12,NO
bhkPhantom,2,NO
bhkPrismaticConstraint,4,NO
bhkRagdollConstraint,4,NO
bhkRagdollTemplate,3,NO
bhkRagdollTemplateData,8,NO
bhkRigidBody,35,NO
bhkRigidBodyT,35,NO
bhkSPCollisionObject,3,NO
bhkShapePhantom,2,NO
bhkSimpleShapePhantom,5,NO
bhkSphereRepShape,2,NO
bhkSphereShape,2,NO
bhkStiffSpringConstraint,4,NO
bhkTransformShape,5,NO
bhkWorldObject,2,NO
hkPackedNiTriStripsData,4,NO
