TYPE_NAME,FIELD_NAME,COL,HIST,MOD
ATextureRenderData,Alpha Mask,PRESENCE,present,ABSENT
ATextureRenderData,Bits Per Pixel,APPLIES_TO_10_1_0_0,True,False
ATextureRenderData,Blue Mask,PRESENCE,present,ABSENT
ATextureRenderData,Bytes Per Pixel,PRESENCE,present,ABSENT
ATextureRenderData,Channels,PRESENCE,present,ABSENT
ATextureRenderData,Flags,PRESENCE,present,ABSENT
ATextureRenderData,Green Mask,PRESENCE,present,ABSENT
ATextureRenderData,Mipmaps,PRESENCE,present,ABSENT
ATextureRenderData,Num Mipmaps,PRESENCE,present,ABSENT
ATextureRenderData,Palette,PRESENCE,present,ABSENT
ATextureRenderData,Pixel Format,PRESENCE,present,ABSENT
ATextureRenderData,Red Mask,PRESENCE,present,ABSENT
ATextureRenderData,Unknown 3 Bytes,PRESENCE,present,ABSENT
ATextureRenderData,Unknown 8 Bytes,PRESENCE,present,ABSENT
ATextureRenderData,Unknown Byte 1,PRESENCE,present,ABSENT
ATextureRenderData,Unknown Int,PRESENCE,present,ABSENT
ATextureRenderData,Unknown Int 2,PRESENCE,present,ABSENT
ATextureRenderData,Unknown Int 3,PRESENCE,present,ABSENT
ATextureRenderData,Unknown Int 4,PRESENCE,present,ABSENT
AvoidNode,Bounding Box,PRESENCE,present,ABSENT
AvoidNode,Bounding Volume,PRESENCE,ABSENT,present
AvoidNode,Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
AvoidNode,Has Bounding Box,PRESENCE,present,ABSENT
AvoidNode,Has Bounding Volume,PRESENCE,ABSENT,present
AvoidNode,Has Old Extra Data,PRESENCE,present,ABSENT
AvoidNode,Legacy Extra Data,PRESENCE,ABSENT,present
AvoidNode,Num Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
AvoidNode,Num Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
AvoidNode,Old Extra Internal Id,PRESENCE,present,ABSENT
AvoidNode,Old Extra Prop Name,PRESENCE,present,ABSENT
AvoidNode,Old Extra String,PRESENCE,present,ABSENT
AvoidNode,Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
AvoidNode,Rotation,FIELD_WIDTH_IF_FIXED,36,var(unknown-type)
AvoidNode,Shader Type,PRESENCE,ABSENT,present
AvoidNode,Skyrim Shader Type,PRESENCE,present,ABSENT
AvoidNode,Translation,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
AvoidNode,Unknown Byte,PRESENCE,present,ABSENT
AvoidNode,Unknown Short 1,PRESENCE,present,ABSENT
AvoidNode,Velocity,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSAnimNote,Arm,PRESENCE,ABSENT,present
BSAnimNote,Gain,PRESENCE,ABSENT,present
BSAnimNote,State,PRESENCE,ABSENT,present
BSAnimNote,Time,PRESENCE,ABSENT,present
BSAnimNote,Type,PRESENCE,ABSENT,present
BSAnimNotes,Anim Notes,PRESENCE,ABSENT,present
BSAnimNotes,Num Anim Notes,PRESENCE,ABSENT,present
BSAnimNotes,Unknown Short 1,PRESENCE,present,ABSENT
BSBehaviorGraphExtraData,Behaviour Graph File,FIELD_TYPE,string,NiFixedString
BSBehaviorGraphExtraData,Behaviour Graph File,FIELD_WIDTH_IF_FIXED,var(u32+),var(unknown-type)
BSBehaviorGraphExtraData,Controls Base Skeleton,FIELD_TYPE,byte,bool
BSBehaviorGraphExtraData,Controls Base Skeleton,FIELD_WIDTH_IF_FIXED,1,1(version-dep;1B for 10.1)
BSBehaviorGraphExtraData,Extra Data,PRESENCE,ABSENT,present
BSBehaviorGraphExtraData,Num Bytes,PRESENCE,ABSENT,present
BSBlastNode,Bounding Box,PRESENCE,present,ABSENT
BSBlastNode,Bounding Volume,PRESENCE,ABSENT,present
BSBlastNode,Current,PRESENCE,ABSENT,present
BSBlastNode,Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSBlastNode,Has Bounding Box,PRESENCE,present,ABSENT
BSBlastNode,Has Bounding Volume,PRESENCE,ABSENT,present
BSBlastNode,Has Old Extra Data,PRESENCE,present,ABSENT
BSBlastNode,Legacy Extra Data,PRESENCE,ABSENT,present
BSBlastNode,Max,PRESENCE,ABSENT,present
BSBlastNode,Min,PRESENCE,ABSENT,present
BSBlastNode,Num Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSBlastNode,Num Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSBlastNode,Old Extra Internal Id,PRESENCE,present,ABSENT
BSBlastNode,Old Extra Prop Name,PRESENCE,present,ABSENT
BSBlastNode,Old Extra String,PRESENCE,present,ABSENT
BSBlastNode,Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSBlastNode,Rotation,FIELD_WIDTH_IF_FIXED,36,var(unknown-type)
BSBlastNode,Shader Type,PRESENCE,ABSENT,present
BSBlastNode,Skyrim Shader Type,PRESENCE,present,ABSENT
BSBlastNode,Translation,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSBlastNode,Unknown Byte,PRESENCE,present,ABSENT
BSBlastNode,Unknown Byte 1,PRESENCE,present,ABSENT
BSBlastNode,Unknown Short 1,PRESENCE,present,ABSENT
BSBlastNode,Unknown Short 2,PRESENCE,present,ABSENT
BSBlastNode,Velocity,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSBoneLODExtraData,BoneLOD Info,FIELD_WIDTH_IF_FIXED,var(BoneLOD contains var),var(unknown-type)
BSBoneLODExtraData,Extra Data,PRESENCE,ABSENT,present
BSBoneLODExtraData,Num Bytes,PRESENCE,ABSENT,present
BSBound,Center,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSBound,Dimensions,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSBound,Extra Data,PRESENCE,ABSENT,present
BSBound,Num Bytes,PRESENCE,ABSENT,present
BSClothExtraData,Binary Data,PRESENCE,ABSENT,present
BSClothExtraData,Extra Data,PRESENCE,ABSENT,present
BSClothExtraData,Name,PRESENCE,ABSENT,present
BSClothExtraData,Next Extra Data,PRESENCE,ABSENT,present
BSClothExtraData,Num Bytes,PRESENCE,ABSENT,present
BSCollisionQueryProxyExtraData,Binary Data,PRESENCE,ABSENT,present
BSCollisionQueryProxyExtraData,Extra Data,PRESENCE,ABSENT,present
BSCollisionQueryProxyExtraData,Name,PRESENCE,ABSENT,present
BSCollisionQueryProxyExtraData,Next Extra Data,PRESENCE,ABSENT,present
BSCollisionQueryProxyExtraData,Num Bytes,PRESENCE,ABSENT,present
BSConnectPoint::Children,Extra Data,PRESENCE,ABSENT,present
BSConnectPoint::Children,Name,PRESENCE,ABSENT,present
BSConnectPoint::Children,Next Extra Data,PRESENCE,ABSENT,present
BSConnectPoint::Children,Num Bytes,PRESENCE,ABSENT,present
BSConnectPoint::Children,Num Points,PRESENCE,ABSENT,present
BSConnectPoint::Children,Point Name,PRESENCE,ABSENT,present
BSConnectPoint::Children,Skinned,PRESENCE,ABSENT,present
BSConnectPoint::Parents,Connect Points,PRESENCE,ABSENT,present
BSConnectPoint::Parents,Extra Data,PRESENCE,ABSENT,present
BSConnectPoint::Parents,Name,PRESENCE,ABSENT,present
BSConnectPoint::Parents,Next Extra Data,PRESENCE,ABSENT,present
BSConnectPoint::Parents,Num Bytes,PRESENCE,ABSENT,present
BSConnectPoint::Parents,Num Connect Points,PRESENCE,ABSENT,present
BSDamageStage,Bounding Box,PRESENCE,present,ABSENT
BSDamageStage,Bounding Volume,PRESENCE,ABSENT,present
BSDamageStage,Current,PRESENCE,ABSENT,present
BSDamageStage,Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSDamageStage,Has Bounding Box,PRESENCE,present,ABSENT
BSDamageStage,Has Bounding Volume,PRESENCE,ABSENT,present
BSDamageStage,Has Old Extra Data,PRESENCE,present,ABSENT
BSDamageStage,Legacy Extra Data,PRESENCE,ABSENT,present
BSDamageStage,Max,PRESENCE,ABSENT,present
BSDamageStage,Min,PRESENCE,ABSENT,present
BSDamageStage,Num Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSDamageStage,Num Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSDamageStage,Old Extra Internal Id,PRESENCE,present,ABSENT
BSDamageStage,Old Extra Prop Name,PRESENCE,present,ABSENT
BSDamageStage,Old Extra String,PRESENCE,present,ABSENT
BSDamageStage,Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSDamageStage,Rotation,FIELD_WIDTH_IF_FIXED,36,var(unknown-type)
BSDamageStage,Shader Type,PRESENCE,ABSENT,present
BSDamageStage,Skyrim Shader Type,PRESENCE,present,ABSENT
BSDamageStage,Translation,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSDamageStage,Unknown Byte,PRESENCE,present,ABSENT
BSDamageStage,Unknown Byte 1,PRESENCE,present,ABSENT
BSDamageStage,Unknown Short 1,PRESENCE,present,ABSENT
BSDamageStage,Unknown Short 2,PRESENCE,present,ABSENT
BSDamageStage,Velocity,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSDebrisNode,Bounding Box,PRESENCE,present,ABSENT
BSDebrisNode,Bounding Volume,PRESENCE,ABSENT,present
BSDebrisNode,Current,PRESENCE,ABSENT,present
BSDebrisNode,Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSDebrisNode,Has Bounding Box,PRESENCE,present,ABSENT
BSDebrisNode,Has Bounding Volume,PRESENCE,ABSENT,present
BSDebrisNode,Has Old Extra Data,PRESENCE,present,ABSENT
BSDebrisNode,Legacy Extra Data,PRESENCE,ABSENT,present
BSDebrisNode,Max,PRESENCE,ABSENT,present
BSDebrisNode,Min,PRESENCE,ABSENT,present
BSDebrisNode,Num Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSDebrisNode,Num Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSDebrisNode,Old Extra Internal Id,PRESENCE,present,ABSENT
BSDebrisNode,Old Extra Prop Name,PRESENCE,present,ABSENT
BSDebrisNode,Old Extra String,PRESENCE,present,ABSENT
BSDebrisNode,Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSDebrisNode,Rotation,FIELD_WIDTH_IF_FIXED,36,var(unknown-type)
BSDebrisNode,Shader Type,PRESENCE,ABSENT,present
BSDebrisNode,Skyrim Shader Type,PRESENCE,present,ABSENT
BSDebrisNode,Translation,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSDebrisNode,Unknown Byte,PRESENCE,present,ABSENT
BSDebrisNode,Unknown Short 1,PRESENCE,present,ABSENT
BSDebrisNode,Unknown Short 2,PRESENCE,present,ABSENT
BSDebrisNode,Unknown byte 1,PRESENCE,present,ABSENT
BSDebrisNode,Velocity,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSDecalPlacementVectorExtraData,Extra Data,PRESENCE,ABSENT,present
BSDecalPlacementVectorExtraData,Float Data,PRESENCE,ABSENT,present
BSDecalPlacementVectorExtraData,Num Bytes,PRESENCE,ABSENT,present
BSDecalPlacementVectorExtraData,Num Vector Blocks,FIELD_TYPE,short,ushort
BSDecalPlacementVectorExtraData,Unknown Float 1,PRESENCE,present,ABSENT
BSDecalPlacementVectorExtraData,Vector Blocks,FIELD_WIDTH_IF_FIXED,var(DecalVectorArray array),var(unknown-type)
BSDismemberSkinInstance,Num Partitions,FIELD_TYPE,int,uint
BSDismemberSkinInstance,Partitions,FIELD_WIDTH_IF_FIXED,4,var(unknown-type)
BSDistantObjectExtraData,Distant Object Flags,PRESENCE,ABSENT,present
BSDistantObjectExtraData,Extra Data,PRESENCE,ABSENT,present
BSDistantObjectExtraData,Name,PRESENCE,ABSENT,present
BSDistantObjectExtraData,Next Extra Data,PRESENCE,ABSENT,present
BSDistantObjectExtraData,Num Bytes,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Bounding Volume,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Children,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Collision Object,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Controller,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Culling Mode,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Effects,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Extra Data,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Extra Data List,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Flags,FIELD_TYPE,ushort,uint
BSDistantObjectInstancedNode,Flags,FIELD_WIDTH_IF_FIXED,2,4
BSDistantObjectInstancedNode,Has Bounding Volume,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Instances,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Legacy Extra Data,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Multi Bound,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Name,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Num Children,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Num Effects,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Num Extra Data List,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Num Instances,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Num Properties,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Properties,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Rotation,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Scale,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Shader Type,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Texture Arrays,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Translation,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Unknown 1,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Unknown 2,PRESENCE,ABSENT,present
BSDistantObjectInstancedNode,Velocity,PRESENCE,ABSENT,present
BSDistantObjectLargeRefExtraData,Extra Data,PRESENCE,ABSENT,present
BSDistantObjectLargeRefExtraData,Large Ref,PRESENCE,ABSENT,present
BSDistantObjectLargeRefExtraData,Name,PRESENCE,ABSENT,present
BSDistantObjectLargeRefExtraData,Next Extra Data,PRESENCE,ABSENT,present
BSDistantObjectLargeRefExtraData,Num Bytes,PRESENCE,ABSENT,present
BSDistantTreeShaderProperty,Environment Map Scale,APPLIES_TO_10_1_0_0,False,UNRESOLVED
BSDistantTreeShaderProperty,Flags,PRESENCE,ABSENT,present
BSDistantTreeShaderProperty,Has Old Extra Data,PRESENCE,present,ABSENT
BSDistantTreeShaderProperty,Legacy Extra Data,PRESENCE,ABSENT,present
BSDistantTreeShaderProperty,Old Extra Internal Id,PRESENCE,present,ABSENT
BSDistantTreeShaderProperty,Old Extra Prop Name,PRESENCE,present,ABSENT
BSDistantTreeShaderProperty,Old Extra String,PRESENCE,present,ABSENT
BSDistantTreeShaderProperty,Shader Flags,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSDistantTreeShaderProperty,Shader Flags 2,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSDistantTreeShaderProperty,Skyrim Shader Type,PRESENCE,present,ABSENT
BSDistantTreeShaderProperty,Smooth,PRESENCE,present,ABSENT
BSDistantTreeShaderProperty,Unknown Byte,PRESENCE,present,ABSENT
BSDynamicTriShape,Alpha Property,PRESENCE,ABSENT,present
BSDynamicTriShape,Bound Min Max,PRESENCE,ABSENT,present
BSDynamicTriShape,Bounding Sphere,PRESENCE,ABSENT,present
BSDynamicTriShape,Bounding Volume,PRESENCE,ABSENT,present
BSDynamicTriShape,Collision Object,PRESENCE,ABSENT,present
BSDynamicTriShape,Controller,PRESENCE,ABSENT,present
BSDynamicTriShape,Data Size,PRESENCE,ABSENT,present
BSDynamicTriShape,Dynamic Data Size,PRESENCE,ABSENT,present
BSDynamicTriShape,Extra Data,PRESENCE,ABSENT,present
BSDynamicTriShape,Extra Data List,PRESENCE,ABSENT,present
BSDynamicTriShape,Flags,FIELD_TYPE,ushort,uint
BSDynamicTriShape,Flags,FIELD_WIDTH_IF_FIXED,2,4
BSDynamicTriShape,Has Bounding Volume,PRESENCE,ABSENT,present
BSDynamicTriShape,Legacy Extra Data,PRESENCE,ABSENT,present
BSDynamicTriShape,Name,PRESENCE,ABSENT,present
BSDynamicTriShape,Num Extra Data List,PRESENCE,ABSENT,present
BSDynamicTriShape,Num Properties,PRESENCE,ABSENT,present
BSDynamicTriShape,Num Triangles,FIELD_TYPE,ushort,uint
BSDynamicTriShape,Num Triangles,FIELD_WIDTH_IF_FIXED,2,4
BSDynamicTriShape,Num Vertices,PRESENCE,ABSENT,present
BSDynamicTriShape,Particle Data Size,PRESENCE,ABSENT,present
BSDynamicTriShape,Particle Normals,PRESENCE,ABSENT,present
BSDynamicTriShape,Particle Triangles,PRESENCE,ABSENT,present
BSDynamicTriShape,Particle Vertices,PRESENCE,ABSENT,present
BSDynamicTriShape,Properties,PRESENCE,ABSENT,present
BSDynamicTriShape,Rotation,PRESENCE,ABSENT,present
BSDynamicTriShape,Scale,PRESENCE,ABSENT,present
BSDynamicTriShape,Shader Property,PRESENCE,ABSENT,present
BSDynamicTriShape,Shader Type,PRESENCE,ABSENT,present
BSDynamicTriShape,Skin,PRESENCE,ABSENT,present
BSDynamicTriShape,Translation,PRESENCE,ABSENT,present
BSDynamicTriShape,Triangles,PRESENCE,ABSENT,present
BSDynamicTriShape,Unknown 1,PRESENCE,ABSENT,present
BSDynamicTriShape,Unknown 2,PRESENCE,ABSENT,present
BSDynamicTriShape,Velocity,PRESENCE,ABSENT,present
BSDynamicTriShape,Vertex Data,FIELD_TYPE,BSVertexDataSSE,BSVertexData
BSDynamicTriShape,Vertex Desc,PRESENCE,ABSENT,present
BSDynamicTriShape,Vertices,PRESENCE,ABSENT,present
BSEffectShaderProperty,Base Color,PRESENCE,ABSENT,present
BSEffectShaderProperty,Base Color Scale,PRESENCE,ABSENT,present
BSEffectShaderProperty,Emissive Color,PRESENCE,present,ABSENT
BSEffectShaderProperty,Emissive Multiple,PRESENCE,present,ABSENT
BSEffectShaderProperty,Emit Gradient Texture,PRESENCE,ABSENT,present
BSEffectShaderProperty,Emittance Color,PRESENCE,ABSENT,present
BSEffectShaderProperty,Env Map Min LOD,PRESENCE,ABSENT,present
BSEffectShaderProperty,Env Map Texture,PRESENCE,ABSENT,present
BSEffectShaderProperty,Env Mask Texture,PRESENCE,ABSENT,present
BSEffectShaderProperty,Environment Map Scale,INHERITED_FROM,SELF,BSShaderProperty
BSEffectShaderProperty,Flags,PRESENCE,ABSENT,present
BSEffectShaderProperty,Has Old Extra Data,PRESENCE,present,ABSENT
BSEffectShaderProperty,Legacy Extra Data,PRESENCE,ABSENT,present
BSEffectShaderProperty,Lighting Influence,PRESENCE,ABSENT,present
BSEffectShaderProperty,Lighting Texture,PRESENCE,ABSENT,present
BSEffectShaderProperty,Luminance,PRESENCE,ABSENT,present
BSEffectShaderProperty,Normal Texture,PRESENCE,ABSENT,present
BSEffectShaderProperty,Num SF1,PRESENCE,ABSENT,present
BSEffectShaderProperty,Num SF2,PRESENCE,ABSENT,present
BSEffectShaderProperty,Old Extra Internal Id,PRESENCE,present,ABSENT
BSEffectShaderProperty,Old Extra Prop Name,PRESENCE,present,ABSENT
BSEffectShaderProperty,Old Extra String,PRESENCE,present,ABSENT
BSEffectShaderProperty,Reflectance Texture,PRESENCE,ABSENT,present
BSEffectShaderProperty,Refraction Power,PRESENCE,ABSENT,present
BSEffectShaderProperty,SF1,PRESENCE,ABSENT,present
BSEffectShaderProperty,SF2,PRESENCE,ABSENT,present
BSEffectShaderProperty,Shader Flags,PRESENCE,ABSENT,present
BSEffectShaderProperty,Shader Type,APPLIES_TO_10_1_0_0,UNRESOLVED,False
BSEffectShaderProperty,Shader Type,FIELD_TYPE,BSShaderType,BSLightingShaderType
BSEffectShaderProperty,Shader Type,INHERITED_FROM,BSShaderProperty,NiObjectNET
BSEffectShaderProperty,Skyrim Shader Type,PRESENCE,present,ABSENT
BSEffectShaderProperty,Texture Clamp Mode,FIELD_TYPE,uint,byte
BSEffectShaderProperty,Texture Clamp Mode,FIELD_WIDTH_IF_FIXED,4,1
BSEffectShaderProperty,UV Offset,FIELD_WIDTH_IF_FIXED,8,var(unknown-type)
BSEffectShaderProperty,UV Scale,FIELD_WIDTH_IF_FIXED,8,var(unknown-type)
BSEffectShaderProperty,Unknown Byte,PRESENCE,present,ABSENT
BSEffectShaderProperty,Unused Byte,PRESENCE,ABSENT,present
BSEffectShaderPropertyColorController,Controlled Color,PRESENCE,ABSENT,present
BSEffectShaderPropertyColorController,Flags,FIELD_TYPE,Flags,TimeControllerFlags
BSEffectShaderPropertyColorController,Flags,FIELD_WIDTH_IF_FIXED,var(unknown-type),2
BSEffectShaderPropertyColorController,Manager Controlled,PRESENCE,ABSENT,present
BSEffectShaderPropertyColorController,Type of Controlled Color,PRESENCE,present,ABSENT
BSEffectShaderPropertyFloatController,Controlled Variable,PRESENCE,ABSENT,present
BSEffectShaderPropertyFloatController,Flags,FIELD_TYPE,Flags,TimeControllerFlags
BSEffectShaderPropertyFloatController,Flags,FIELD_WIDTH_IF_FIXED,var(unknown-type),2
BSEffectShaderPropertyFloatController,Manager Controlled,PRESENCE,ABSENT,present
BSEffectShaderPropertyFloatController,Type of Controlled Variable,PRESENCE,present,ABSENT
BSExtraData,Extra Data,PRESENCE,ABSENT,present
BSExtraData,Name,PRESENCE,ABSENT,present
BSExtraData,Next Extra Data,PRESENCE,ABSENT,present
BSExtraData,Num Bytes,PRESENCE,ABSENT,present
BSEyeCenterExtraData,Data,PRESENCE,ABSENT,present
BSEyeCenterExtraData,Extra Data,PRESENCE,ABSENT,present
BSEyeCenterExtraData,Name,PRESENCE,ABSENT,present
BSEyeCenterExtraData,Next Extra Data,PRESENCE,ABSENT,present
BSEyeCenterExtraData,Num Bytes,PRESENCE,ABSENT,present
BSEyeCenterExtraData,Num Data,PRESENCE,ABSENT,present
BSFadeNode,Bounding Box,PRESENCE,present,ABSENT
BSFadeNode,Bounding Volume,PRESENCE,ABSENT,present
BSFadeNode,Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSFadeNode,Has Bounding Box,PRESENCE,present,ABSENT
BSFadeNode,Has Bounding Volume,PRESENCE,ABSENT,present
BSFadeNode,Has Old Extra Data,PRESENCE,present,ABSENT
BSFadeNode,Legacy Extra Data,PRESENCE,ABSENT,present
BSFadeNode,Num Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSFadeNode,Num Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSFadeNode,Old Extra Internal Id,PRESENCE,present,ABSENT
BSFadeNode,Old Extra Prop Name,PRESENCE,present,ABSENT
BSFadeNode,Old Extra String,PRESENCE,present,ABSENT
BSFadeNode,Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSFadeNode,Rotation,FIELD_WIDTH_IF_FIXED,36,var(unknown-type)
BSFadeNode,Shader Type,PRESENCE,ABSENT,present
BSFadeNode,Skyrim Shader Type,PRESENCE,present,ABSENT
BSFadeNode,Translation,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSFadeNode,Unknown Byte,PRESENCE,present,ABSENT
BSFadeNode,Unknown Short 1,PRESENCE,present,ABSENT
BSFadeNode,Velocity,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSFrustumFOVController,Flags,FIELD_TYPE,Flags,TimeControllerFlags
BSFrustumFOVController,Flags,FIELD_WIDTH_IF_FIXED,var(unknown-type),2
BSFrustumFOVController,Interpolator,APPLIES_TO_10_1_0_0,True,False
BSFrustumFOVController,Interpolator,LINK_REF_ROLE,Ref->NiFloatInterpolator,Ref->NiInterpolator
BSFrustumFOVController,Interpolator,INHERITED_FROM,SELF,NiSingleInterpController
BSFrustumFOVController,Manager Controlled,PRESENCE,ABSENT,present
BSFurnitureMarker,Extra Data,PRESENCE,ABSENT,present
BSFurnitureMarker,Num Bytes,PRESENCE,ABSENT,present
BSFurnitureMarker,Positions,FIELD_WIDTH_IF_FIXED,16,var(unknown-type)
BSFurnitureMarkerNode,Extra Data,PRESENCE,ABSENT,present
BSFurnitureMarkerNode,Num Bytes,PRESENCE,ABSENT,present
BSFurnitureMarkerNode,Positions,FIELD_WIDTH_IF_FIXED,16,var(unknown-type)
BSInvMarker,Extra Data,PRESENCE,ABSENT,present
BSInvMarker,Num Bytes,PRESENCE,ABSENT,present
BSKeyframeController,Flags,FIELD_TYPE,Flags,TimeControllerFlags
BSKeyframeController,Flags,FIELD_WIDTH_IF_FIXED,var(unknown-type),2
BSKeyframeController,Manager Controlled,PRESENCE,ABSENT,present
BSLODTriShape,Active Material,PRESENCE,present,ABSENT
BSLODTriShape,Alpha Property,PRESENCE,ABSENT,present
BSLODTriShape,BS Properties,PRESENCE,present,ABSENT
BSLODTriShape,Bound Min Max,PRESENCE,ABSENT,present
BSLODTriShape,Bounding Box,PRESENCE,present,ABSENT
BSLODTriShape,Bounding Sphere,PRESENCE,ABSENT,present
BSLODTriShape,Bounding Volume,PRESENCE,ABSENT,present
BSLODTriShape,Dirty Flag,PRESENCE,present,ABSENT
BSLODTriShape,Has Bounding Box,PRESENCE,present,ABSENT
BSLODTriShape,Has Bounding Volume,PRESENCE,ABSENT,present
BSLODTriShape,Has Old Extra Data,PRESENCE,present,ABSENT
BSLODTriShape,Has Shader,PRESENCE,present,ABSENT
BSLODTriShape,LOD0 Size,PRESENCE,ABSENT,present
BSLODTriShape,LOD1 Size,PRESENCE,ABSENT,present
BSLODTriShape,LOD2 Size,PRESENCE,ABSENT,present
BSLODTriShape,Legacy Extra Data,PRESENCE,ABSENT,present
BSLODTriShape,Level 0 Size,PRESENCE,present,ABSENT
BSLODTriShape,Level 1 Size,PRESENCE,present,ABSENT
BSLODTriShape,Level 2 Size,PRESENCE,present,ABSENT
BSLODTriShape,Material Data,APPLIES_TO_10_1_0_0,False,UNRESOLVED
BSLODTriShape,Material Extra Data,PRESENCE,present,ABSENT
BSLODTriShape,Material Name,PRESENCE,present,ABSENT
BSLODTriShape,Num Materials,PRESENCE,present,ABSENT
BSLODTriShape,Num Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSLODTriShape,Old Extra Internal Id,PRESENCE,present,ABSENT
BSLODTriShape,Old Extra Prop Name,PRESENCE,present,ABSENT
BSLODTriShape,Old Extra String,PRESENCE,present,ABSENT
BSLODTriShape,Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSLODTriShape,Rotation,FIELD_WIDTH_IF_FIXED,36,var(unknown-type)
BSLODTriShape,Shader Name,PRESENCE,present,ABSENT
BSLODTriShape,Shader Property,PRESENCE,ABSENT,present
BSLODTriShape,Shader Type,PRESENCE,ABSENT,present
BSLODTriShape,Skin,PRESENCE,ABSENT,present
BSLODTriShape,Skyrim Shader Type,PRESENCE,present,ABSENT
BSLODTriShape,Translation,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSLODTriShape,Unknown Byte,INHERITED_FROM,NiObjectNET,NiGeometry
BSLODTriShape,Unknown Integer,PRESENCE,present,ABSENT
BSLODTriShape,Unknown Integer 2,PRESENCE,present,ABSENT
BSLODTriShape,Unknown Short 1,PRESENCE,present,ABSENT
BSLODTriShape,Velocity,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSLagBoneController,Flags,FIELD_TYPE,Flags,TimeControllerFlags
BSLagBoneController,Flags,FIELD_WIDTH_IF_FIXED,var(unknown-type),2
BSLeafAnimNode,Bounding Box,PRESENCE,present,ABSENT
BSLeafAnimNode,Bounding Volume,PRESENCE,ABSENT,present
BSLeafAnimNode,Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
