type_name,blocks,files,min_blocks_per_file,max_blocks_per_file,baseline_type_present,example_files,scanner_status
NiPSysMeshEmitter,24,12,1,5,YES_HIST,492966.nif;490577.nif;504401.nif;499518.nif;514624.nif,SCANNED
NiSpecularProperty,14,14,1,1,YES_HIST,505844.nif;529989.nif;530007.nif;530047.nif;530064.nif,SCANNED
NiVisData,14,6,1,3,YES_HIST,497460.nif;499035.nif;499518.nif;473081.nif;473123.nif,SCANNED
NiCollisionData,12,5,1,4,YES_HIST,524725.nif;492890.nif;502864.nif;503103.nif;500900.nif,SCANNED
NiPSysSphereEmitter,12,4,1,5,YES_HIST,545266.nif;546120.nif;545295.nif;545292.nif,SCANNED
NiLightColorController,11,11,1,1,YES_HIST,511767.nif;512126.nif;512781.nif;472836.nif;460897.nif,SCANNED
NiVisController,11,5,1,3,YES_HIST,497460.nif;499035.nif;473081.nif;473123.nif;501730.nif,SCANNED
NiLookAtController,10,10,1,1,YES_HIST,535262.nif;535460.nif;535244.nif;535226.nif;535218.nif,SCANNED
NiDitherProperty,9,9,1,1,YES_HIST,336702.nif;526276.nif;460647.nif;460873.nif;165938.nif,SCANNED
NiPSysModifierActiveCtlr,3,1,3,3,YES_HIST,499518.nif,SCANNED
NiPSysDragModifier,3,1,3,3,YES_HIST,499518.nif,SCANNED
NiMeshParticleSystem,3,3,1,1,YES_HIST,285751.nif;248920.nif;288100.nif,SCANNED
NiMeshPSysData,3,3,1,1,YES_HIST,285751.nif;248920.nif;288100.nif,SCANNED
NiPSysRotationModifier,3,3,1,1,YES_HIST,285751.nif;248920.nif;288100.nif,SCANNED
NiPSysMeshUpdateModifier,3,3,1,1,YES_HIST,285751.nif;248920.nif;288100.nif,SCANNED
NiPSysPlanarCollider,2,1,2,2,YES_HIST,526208.nif,SCANNED
NiPSysResetOnLoopCtlr,2,1,2,2,YES_HIST,536114.nif,SCANNED
NiFogProperty,1,1,1,1,YES_HIST,504453.nif,SCANNED
NiPSysColliderManager,1,1,1,1,YES_HIST,526208.nif,SCANNED
NiSortAdjustNode,1,1,1,1,YES_HIST,472836.nif,SCANNED
NiShadeProperty,1,1,1,1,YES_HIST,500939.nif,SCANNED
NiPixelData,1,1,1,1,YES_HIST,204828.nif,SCANNED
