file_name,rederivation_class,archive_entry_index,archive_payload_offset,payload_size,num_blocks_file,arktexture_block_index,block_start_offset,block_name,block_name_len,block_gid,header_offset,header_hex_13B,A_numfield,B_field1,C_field2,pad,signature_family,formula_count_field2_shift8,entry_start_offset,true_entries_verified,first_true_entry_name,first_true_entry_ref,next_gid,next_name_len,next_name,next_block_index,next_block_type_per_index,signature_verified_gid0_len_name,type_index_agreement,in_world_slice,frozen_decoder_accepted_count,frozen_decoder_count_source,frozen_decoder_block_start_vs_raw,fake_entries_in_block
548295.nif,ZERO_COUNT_MISPARSED_FROZEN,2233,235394382,88718,180,173,87646,ArkTexture,10,0,87664,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,87677,0,,,0,15,ArkViewportInfo,174,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
386590.nif,COUNT_MISMATCH_TRUE_EQ_FORMULA,593,89000446,4080,18,14,3822,ArkTexture,10,0,3840,03000000010000000001000000,3,1,256,0,"dev_(3,1,0x100,0)",1,3853,1,GeoDoor001_0_BASE,7,0,15,ArkViewportInfo,15,NiArkViewportInfoExtraData,True,True,True,3,numfield,MATCH,2
386950.nif,COUNT_MISMATCH_TRUE_EQ_FORMULA,528,82252865,6025,19,15,5781,ArkTexture,10,0,5799,03000000010000000001000000,3,1,256,0,"dev_(3,1,0x100,0)",1,5812,1,geoDoor_0_BASE,7,0,15,ArkViewportInfo,16,NiArkViewportInfoExtraData,True,True,True,3,numfield,MATCH,2
386951.nif,COUNT_MISMATCH_TRUE_EQ_FORMULA,529,82258890,5880,19,15,5636,ArkTexture,10,0,5654,03000000010000000001000000,3,1,256,0,"dev_(3,1,0x100,0)",1,5667,1,geodoor_0_BASE,7,0,15,ArkViewportInfo,16,NiArkViewportInfoExtraData,True,True,True,3,numfield,MATCH,2
488579.nif,COUNT_MISMATCH_TRUE_EQ_FORMULA,572,86940075,7572,22,18,7328,ArkTexture,10,0,7346,03000000010000000002000000,3,1,512,0,"dev_(3,1,0x200,0)",2,7359,2,Box02_0_BASE,8,0,15,ArkViewportInfo,19,NiArkViewportInfoExtraData,True,True,True,3,numfield,MATCH,1
490489.nif,COUNT_MISMATCH_TRUE_EQ_FORMULA,1036,159748621,13703,26,20,13264,ArkTexture,10,0,13282,03000000010000000002000000,3,1,512,0,"dev_(3,1,0x200,0)",2,13295,2,Box01_0_BASE,10,0,15,ArkViewportInfo,21,NiArkViewportInfoExtraData,True,True,True,3,numfield,MATCH,1
493785.nif,COUNT_MISMATCH_TRUE_EQ_FORMULA,586,88503885,7568,22,18,7324,ArkTexture,10,0,7342,03000000010000000002000000,3,1,512,0,"dev_(3,1,0x200,0)",2,7355,2,Box02_0_BASE,8,0,15,ArkViewportInfo,19,NiArkViewportInfoExtraData,True,True,True,3,numfield,MATCH,1
15522.nif,ZERO_COUNT_CONSISTENT_FROZEN,3963,330862007,720,7,5,645,ArkTexture,10,0,663,0300000000ffffffff00000000,3,4294967040,255,0,"sig2_(3,0xFFFFFF00,0xFF,0)",0,676,0,,,0,15,ArkViewportInfo,6,NiArkViewportInfoExtraData,True,True,True,0,field2>>8,MATCH,0
155494.nif,ZERO_COUNT_CONSISTENT_FROZEN,3918,327896244,860,7,5,785,ArkTexture,10,0,803,0300000000ffffffff00000000,3,4294967040,255,0,"sig2_(3,0xFFFFFF00,0xFF,0)",0,816,0,,,0,15,ArkViewportInfo,6,NiArkViewportInfoExtraData,True,True,True,0,field2>>8,MATCH,0
155496.nif,ZERO_COUNT_CONSISTENT_FROZEN,4128,340687916,720,7,5,645,ArkTexture,10,0,663,0300000000ffffffff00000000,3,4294967040,255,0,"sig2_(3,0xFFFFFF00,0xFF,0)",0,676,0,,,0,15,ArkViewportInfo,6,NiArkViewportInfoExtraData,True,True,True,0,field2>>8,MATCH,0
36276.nif,ZERO_COUNT_CONSISTENT_FROZEN,4111,339342507,720,7,5,645,ArkTexture,10,0,663,0300000000ffffffff00000000,3,4294967040,255,0,"sig2_(3,0xFFFFFF00,0xFF,0)",0,676,0,,,0,15,ArkViewportInfo,6,NiArkViewportInfoExtraData,True,True,True,0,field2>>8,MATCH,0
36279.nif,ZERO_COUNT_CONSISTENT_FROZEN,3900,326456638,720,7,5,645,ArkTexture,10,0,663,0300000000ffffffff00000000,3,4294967040,255,0,"sig2_(3,0xFFFFFF00,0xFF,0)",0,676,0,,,0,15,ArkViewportInfo,6,NiArkViewportInfoExtraData,True,True,True,0,field2>>8,MATCH,0
46108.nif,ZERO_COUNT_CONSISTENT_FROZEN,4124,340352264,720,7,5,645,ArkTexture,10,0,663,0300000000ffffffff00000000,3,4294967040,255,0,"sig2_(3,0xFFFFFF00,0xFF,0)",0,676,0,,,0,15,ArkViewportInfo,6,NiArkViewportInfoExtraData,True,True,True,0,field2>>8,MATCH,0
46109.nif,ZERO_COUNT_CONSISTENT_FROZEN,3914,327559654,720,7,5,645,ArkTexture,10,0,663,0300000000ffffffff00000000,3,4294967040,255,0,"sig2_(3,0xFFFFFF00,0xFF,0)",0,676,0,,,0,15,ArkViewportInfo,6,NiArkViewportInfoExtraData,True,True,True,0,field2>>8,MATCH,0
591980.nif,ZERO_COUNT_CONSISTENT_FROZEN,3791,323385030,31356,15,11,31115,ArkTexture,10,0,31133,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,31146,0,,,0,15,ArkViewportInfo,12,NiArkViewportInfoExtraData,True,True,True,0,field2>>8,MATCH,0
432073.nif,ZERO_COUNT_FILE_BLOCKED_FROZEN,3651,315661228,3344,21,18,3247,ArkTexture,10,0,3265,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,3278,0,,,0,15,ArkViewportInfo,19,NiArkViewportInfoExtraData,True,True,True,DECODER_BLOCKED(BLOCKED),,N/A_FILE_BLOCKED,0
473970.nif,ZERO_COUNT_FILE_BLOCKED_FROZEN,3652,315664572,2918,17,13,2795,ArkTexture,10,0,2813,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,2826,0,,,0,15,ArkViewportInfo,14,NiArkViewportInfoExtraData,True,True,True,DECODER_BLOCKED(BLOCKED),,N/A_FILE_BLOCKED,0
533021.nif,ZERO_COUNT_FILE_BLOCKED_FROZEN,484,76840444,537,6,3,440,ArkTexture,10,0,458,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,471,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,DECODER_BLOCKED(BLOCKED),,N/A_FILE_BLOCKED,0
535855.nif,ZERO_COUNT_FILE_BLOCKED_FROZEN,925,139926629,545,6,3,448,ArkTexture,10,0,466,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,479,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,DECODER_BLOCKED(BLOCKED),,N/A_FILE_BLOCKED,0
535857.nif,ZERO_COUNT_FILE_BLOCKED_FROZEN,926,139927174,541,6,3,444,ArkTexture,10,0,462,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,475,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,DECODER_BLOCKED(BLOCKED),,N/A_FILE_BLOCKED,0
547226.nif,ZERO_COUNT_FILE_BLOCKED_FROZEN,726,110752130,537,6,3,440,ArkTexture,10,0,458,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,471,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,DECODER_BLOCKED(BLOCKED),,N/A_FILE_BLOCKED,0
