entry_index,name,size_stored,offset,size_plain,compression,sha256_stored,sha256_plain,header_string,version_hex,version_label,header_version_text,text_version_match,field_c,field_d,scan_status
2617,98243.nif,2736,266634028,2736,raw,4C2482A725A8B1700C76177B743841B1CFFFFD5298C093541D2109E0673055D4,4C2482A725A8B1700C76177B743841B1CFFFFD5298C093541D2109E0673055D4,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x02F0E544,0x02F0E544,SCANNED
2618,98246.nif,2736,266636764,2736,raw,B61AFEDA93F8B297AE6CD1CCE7E2D06E6E7AC4AE5BF4A137B196B82DC87668D9,B61AFEDA93F8B297AE6CD1CCE7E2D06E6E7AC4AE5BF4A137B196B82DC87668D9,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xE3A0EF34,0xE3A0EF34,SCANNED
2619,98249.nif,2736,266639500,2736,raw,D7925ECD769695C8FDDD61F6C100CD191DBD89BB8B4F40DC0098AB3A83EC4A5C,D7925ECD769695C8FDDD61F6C100CD191DBD89BB8B4F40DC0098AB3A83EC4A5C,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xABA4810B,0xABA4810B,SCANNED
2620,98252.nif,2736,266642236,2736,raw,C7D46AD12E0E8D836FEFA69929558D6E53E63C46296E4CEACDF88B6FC0255BC2,C7D46AD12E0E8D836FEFA69929558D6E53E63C46296E4CEACDF88B6FC0255BC2,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x1A0ABF97,0x1A0ABF97,SCANNED
2621,98255.nif,2736,266644972,2736,raw,8CFBD27694C5F144295EB97E4CC9F56B98E825005881F81AD4D97150C72DB779,8CFBD27694C5F144295EB97E4CC9F56B98E825005881F81AD4D97150C72DB779,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x9105C037,0x9105C037,SCANNED
2622,98659.nif,2736,266647708,2736,raw,18650187CABD5DEAFA31CBC9C8FE6E73C20EB11E53D98B02F8549669E6CD7A23,18650187CABD5DEAFA31CBC9C8FE6E73C20EB11E53D98B02F8549669E6CD7A23,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x35C21E40,0x35C21E40,SCANNED
2623,98662.nif,2736,266650444,2736,raw,4995FE89D798492E7584D197F837D412C88AE43699D9126936B5B1AEF66E339B,4995FE89D798492E7584D197F837D412C88AE43699D9126936B5B1AEF66E339B,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x6C655ADA,0x6C655ADA,SCANNED
2624,98665.nif,2736,266653180,2736,raw,5B2822FD3453526237476CD345893E7DA521DA74175D87B870EBBA9D9E35CBFE,5B2822FD3453526237476CD345893E7DA521DA74175D87B870EBBA9D9E35CBFE,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x0F4D50CC,0x0F4D50CC,SCANNED
2625,98669.nif,2736,266655916,2736,raw,D1DFD6D3220099747A5F28219962E677B33520DE8FB1A4EBBA9F990979DC316A,D1DFD6D3220099747A5F28219962E677B33520DE8FB1A4EBBA9F990979DC316A,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x03211108,0x03211108,SCANNED
2626,98672.nif,2736,266658652,2736,raw,23A79C58A97262509C6DB63924DD5993AE3EA5777E1702CD55787D9962F98B9F,23A79C58A97262509C6DB63924DD5993AE3EA5777E1702CD55787D9962F98B9F,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xA0B3E31A,0xA0B3E31A,SCANNED
